,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26016790,24,16,1,589158,1.0,518971,70187,Yadayada Hellowork,https://img2.finalfantasyxiv.com/f/55942e85f3ff284bd63744bfa5125baf_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645098020
1,22521257,24,16,2,301107,2.0,243854,57253,Nica Blackthorne,https://img2.finalfantasyxiv.com/f/5142eec7fc839e65ff4fb824e69dcd11_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644851096
2,31758841,24,16,3,290928,3.0,216711,74217,Poteco Russell,https://img2.finalfantasyxiv.com/f/c0e27c7117e60ac207c863d69cce3a2b_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645039161
3,27194288,24,16,4,266987,4.0,194226,72761,Goro Inudog,https://img2.finalfantasyxiv.com/f/1b50f7ab87fcad460975ea16709127cd_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645138883
4,19386393,24,16,5,264860,5.0,179681,85179,Tris Nia,https://img2.finalfantasyxiv.com/f/2a042b29aee0657290a5ad872a396f03_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645177936
5,25056011,24,16,6,221328,7.0,158970,62358,Euride Redmayne,https://img2.finalfantasyxiv.com/f/fd1fd0662314f91ec22ecd51f888ffca_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645166055
6,27022911,24,16,7,205723,12.0,134873,70850,Erica Brown,https://img2.finalfantasyxiv.com/f/973763f8f531c44cd14e500875c931f6_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645038317
7,31758945,24,16,8,197376,8.0,156049,41327,Leo Loire,https://img2.finalfantasyxiv.com/f/5e68cec27907bfe800ec09a9f243e78f_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644851981
8,11886780,24,16,9,195356,15.0,110536,84820,Merry Scrald,https://img2.finalfantasyxiv.com/f/7bfbd82582fd003bc514339935d874a7_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645077852
9,28898168,24,16,10,191665,11.0,137861,53804,Suzaku Shiro,https://img2.finalfantasyxiv.com/f/2cf3510aa4846994110e9fc564e3e4ff_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645027236
10,32794024,24,16,11,180688,10.0,147474,33214,Margaret Queen,https://img2.finalfantasyxiv.com/f/48c2207551271f8e669da40d11853427_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644829893
11,19578552,24,16,12,170909,13.0,129988,40921,Soyo Ikegm,https://img2.finalfantasyxiv.com/f/08e9f53d32a2b51c1998c23758d6e5cc_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645017278
12,25325880,24,16,13,167518,6.0,167518,0,Shohta Amakake,https://img2.finalfantasyxiv.com/f/2487e2ba2c0d934cb1980675bfa03349_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645120116
13,29474018,24,16,14,166962,16.0,108347,58615,Don Beef,https://img2.finalfantasyxiv.com/f/d7bedf3993f79aaa95460145ed401cd6_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645102987
14,18916488,24,16,15,149113,9.0,149074,39,Amana Miamana,https://img2.finalfantasyxiv.com/f/da877827be3b7a7bb8c06045d67f7d98_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645057317
15,25950852,24,16,16,148560,14.0,127483,21077,Yuuki Ronner,https://img2.finalfantasyxiv.com/f/8cb894788612fbb8a66686a23ea288ef_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644624186
16,9959827,24,16,17,138455,22.0,82103,56352,An Godwin,https://img2.finalfantasyxiv.com/f/6ccf4112ceaf56e9146c90313b1e4824_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644859012
17,15256204,24,16,18,133652,19.0,93261,40391,Jene Kool,https://img2.finalfantasyxiv.com/f/bd15672be0d9af61903be3cbecd44dc6_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645019319
18,23868270,24,16,19,123621,18.0,97848,25773,Maki Mahomaho,https://img2.finalfantasyxiv.com/f/158e04c7c9992bbc1ea0eff283706d02_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645066337
19,22953320,24,16,20,120131,17.0,103453,16678,Koma- Kr,https://img2.finalfantasyxiv.com/f/9cbb72e9ea6aeb3e34bfdf7d0007e4af_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645116769
20,19915493,24,16,21,114725,46.0,54016,60709,Millia Reign,https://img2.finalfantasyxiv.com/f/1f547bb1738d110ed9feabc57272baf9_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645014637
21,2463322,24,16,22,109681,26.0,77184,32497,Joseph Yaht,https://img2.finalfantasyxiv.com/f/81f4231d6bcc7bc4b0bacce152a6b0b9_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644815735
