,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22727666,47,15,1,660158,1.0,384356,275802,Evovo Evo,https://img2.finalfantasyxiv.com/f/9c0f6245769d7516369e989200191953_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645086180
1,23724973,47,15,2,240944,2.0,208045,32899,Poranka Tl,https://img2.finalfantasyxiv.com/f/17a5c407b68994c1c408205a1d01ad5b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645065879
2,16416681,47,15,3,144510,4.0,93419,51091,Sora Kokonoe,https://img2.finalfantasyxiv.com/f/6575a3f2472d3af097b275813f5b682a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645014404
3,24696263,47,15,4,126395,3.0,94624,31771,Tonbo Maldesu,https://img2.finalfantasyxiv.com/f/9736983faf02961b94c62d5678a2e012_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645191353
4,3921275,47,15,5,126240,5.0,87099,39141,Lettuce Fry,https://img2.finalfantasyxiv.com/f/6cedef05253f4e3c42e02ccabdbfaaaf_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645001814
5,21440410,47,15,6,123105,7.0,57476,65629,Yulisis Tia,https://img2.finalfantasyxiv.com/f/dc8827ab48e7ec944a9a7039195f6a69_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645162972
6,8788070,47,15,7,104818,11.0,35345,69473,Yurk Nott,https://img2.finalfantasyxiv.com/f/8ffcc72143f63806ab2d86cc739402c4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645044556
7,20753948,47,15,8,104188,8.0,56395,47793,Aoi Lemon,https://img2.finalfantasyxiv.com/f/6745b2776dd366f0d545d9b519bff9c5_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644797416
8,29071400,47,15,9,93732,9.0,50485,43247,Niwano Niwatori,https://img2.finalfantasyxiv.com/f/ace6cbadc099918e4d2924a4815b4c50_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645114005
9,27914531,47,15,10,92766,6.0,59626,33140,Hydrornis Fryne,https://img2.finalfantasyxiv.com/f/e707029f8cf52476115fea7a0f0ca175_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644994618
10,23961281,47,15,11,57023,19.0,19214,37809,Inori Edelstein,https://img2.finalfantasyxiv.com/f/12c366d1333e4cefe994711c2b949215_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645083415
11,21560113,47,15,12,51120,10.0,46076,5044,Clarissa Coffey,https://img2.finalfantasyxiv.com/f/7d00330dd57e8ef50e83274299e23433_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645096020
12,23876798,47,15,13,43177,12.0,34974,8203,Mituba Coronaria,https://img2.finalfantasyxiv.com/f/1ae75853ecf281f635134999b706c0dd_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645141682
13,21373821,47,15,14,32652,25.0,15233,17419,Suiren San,https://img2.finalfantasyxiv.com/f/90553c566809809ef072e882a9dd6520_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644855542
14,23749373,47,15,15,29174,15.0,21176,7998,Blue Fairy,https://img2.finalfantasyxiv.com/f/91b3da788c9942e15015d4d6152152ad_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644902861
15,5611036,47,15,16,29122,13.0,25717,3405,Ch'ei Hwa,https://img2.finalfantasyxiv.com/f/1f489fdfcd2ac72b8d307aa6a5461be1_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644994061
16,12873234,47,15,17,27002,30.0,13832,13170,Ze'n Trevo,https://img2.finalfantasyxiv.com/f/55bd0ebf3458744b33cf6b6824c42933_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645044989
17,10275428,47,15,18,25871,26.0,14562,11309,Vex Nos,https://img2.finalfantasyxiv.com/f/3d6ff4c8c5b0ceb193f428b32b4cfdf4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645033217
18,31400754,47,15,19,25200,14.0,22230,2970,Zola Vinushka,https://img2.finalfantasyxiv.com/f/6f29a948dccc27856b43764feb02bf44_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644840877
19,27957534,47,15,20,23397,16.0,20521,2876,Hazuki Leafmoon,https://img2.finalfantasyxiv.com/f/f3def85ec43f74e355bb242b4af094b9_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645045342
20,30713184,47,15,21,21943,18.0,19333,2610,Awayuki Fuari,https://img2.finalfantasyxiv.com/f/2c383596931d24435476504bf1a44c70_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645104330
21,22866809,47,15,22,20315,17.0,20315,0,Sandy Claus,https://img2.finalfantasyxiv.com/f/6e5a510a75bf6b7e97a143b35aef9a95_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645077139
22,21711893,47,15,23,20293,21.0,17468,2825,Takeingway Malmsteen,https://img2.finalfantasyxiv.com/f/0e3c414b8f1f88ac67f6174d3e6cd3b2_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644835742
23,19111800,47,15,24,19150,22.0,16691,2459,Fiore Foglia,https://img2.finalfantasyxiv.com/f/29dc48655d985a531788b9c8e5e6ee39_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644942568
24,11345349,47,15,25,18867,20.0,18361,506,Yukke Ontama,https://img2.finalfantasyxiv.com/f/fee993edd9598203c1cdbd0d2899d5a0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645137528
25,1224438,47,15,26,18835,28.0,14070,4765,Elfriede Hartmann,https://img2.finalfantasyxiv.com/f/24c15b86fbb039c8481265ef2c5bcce0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644952521
26,26983691,47,15,27,17392,27.0,14093,3299,Roin Row,https://img2.finalfantasyxiv.com/f/701e46f8e31aa0ee126c7e5e3a6d04ce_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645051437
27,2295798,47,15,28,16200,24.0,15300,900,Mone Campanerella,https://img2.finalfantasyxiv.com/f/6e4a357991977d28d49d36902637f3d9_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645002804
28,22158472,47,15,29,15702,23.0,15702,0,Ren Yukino,https://img2.finalfantasyxiv.com/f/aba7888f159ab9188574b8ab9cb3675a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645029291
29,28577089,47,15,30,14712,31.0,12642,2070,Miko Zzz,https://img2.finalfantasyxiv.com/f/75e428fd58b2c87749385b451ee268ac_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1644732978
30,18986027,47,15,31,14121,34.0,11901,2220,Uni Co,https://img2.finalfantasyxiv.com/f/57717b7e1f741e6e3530e029f1ea9c20_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645074094
31,16106701,47,15,32,13983,29.0,13983,0,Shiro Maroshi,https://img2.finalfantasyxiv.com/f/be67b1f4fc38b1e6f6a905dbe4d4d3a7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645010397
32,24752006,47,15,33,13911,33.0,12561,1350,Nyomo Kun,https://img2.finalfantasyxiv.com/f/dff727eee05a3030a77fba2acb8ab345_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645185928
33,22697708,47,15,34,13803,35.0,10503,3300,Coeurl Leonis,https://img2.finalfantasyxiv.com/f/0fa5fe9ba5a69d52e33a48ea5e7135e8_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644872070
34,31714036,47,15,35,13418,66.0,4960,8458,Donald Somingo,https://img2.finalfantasyxiv.com/f/bf32df945f71cdcc4aedc6046be66d71_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644828265
35,18781998,47,15,36,13138,50.0,7268,5870,Maikey Sunflower,https://img2.finalfantasyxiv.com/f/e8e24d13ff34c4f5ae348e34d9d4fdc1_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645100547
36,21581860,47,15,37,12629,32.0,12629,0,Kronos Zed,https://img2.finalfantasyxiv.com/f/d555d455d0f04df1695417ca2b6b091a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645129308
37,18476981,47,15,38,11275,37.0,10105,1170,Tarte Potato,https://img2.finalfantasyxiv.com/f/0b0b28265008c445916f0701a87e72ce_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645038850
38,19767441,47,15,39,11176,,0,11176,Hazama Carne,https://img2.finalfantasyxiv.com/f/f404fa9a0f8a31447e33f10034744695_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645040406
39,16685292,47,15,40,10899,51.0,7029,3870,Soshi Sora,https://img2.finalfantasyxiv.com/f/ea0e991dd16c93e9eb9e23ac39fe4a11_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644945424
40,30221064,47,15,41,10686,48.0,7421,3265,Puu Corneo,https://img2.finalfantasyxiv.com/f/c058c3c1d3015794ecd6f5ff065f11e4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644954217
41,22121347,47,15,42,10462,39.0,8970,1492,Sofiel Carey,https://img2.finalfantasyxiv.com/f/60e840859f872c64f73606ff9dc599a0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645077120
42,17549566,47,15,43,10327,40.0,8847,1480,Hack Orage,https://img2.finalfantasyxiv.com/f/13779170bea9dd3108d736b4eed300c2_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644962541
43,16652603,47,15,44,10321,53.0,6453,3868,Sakura Sunadokei,https://img2.finalfantasyxiv.com/f/ed4da011a8bacbd3a9cae3ca73b5161a_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645105388
44,27455686,47,15,45,10303,36.0,10303,0,Quiche San,https://img2.finalfantasyxiv.com/f/2687c59523514a9d2d55acbe51473904_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644973452
