,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,12351176,36,12,1,156631,1.0,120476,36155,Haruka Shin,https://img2.finalfantasyxiv.com/f/9dfab99989b367fd487be320235ffd7e_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644814467
1,4510663,36,12,2,147386,3.0,100683,46703,Celestia Bloom,https://img2.finalfantasyxiv.com/f/837617dccaa76fae8c366bcba583697f_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645118339
2,6731942,36,12,3,135775,2.0,104914,30861,A'zumyn Oya,https://img2.finalfantasyxiv.com/f/8c83f1e7063fe8b5f198c986a1d8a671_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645077460
3,28620086,36,12,4,133244,4.0,95613,37631,Shadwyn Ylaya,https://img2.finalfantasyxiv.com/f/146924e0ba2fe28349a7795877992479_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644997331
4,4464362,36,12,5,42302,,0,42302,Kazenone Alagar,https://img2.finalfantasyxiv.com/f/61c95657572ba15814e6726f940b935b_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645151224
5,30027021,36,12,6,35281,5.0,35281,0,Daimm Sahn,https://img2.finalfantasyxiv.com/f/7b130af7c4d897ccfbf91dd8914b057d_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645109035
6,15271373,36,12,7,31957,7.0,22876,9081,Numia Phalladil,https://img2.finalfantasyxiv.com/f/947d52f4eb9a9f41392fd5871c8f9636_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644966997
7,10402824,36,12,8,26141,9.0,18899,7242,Leandra Drachenzorn,https://img2.finalfantasyxiv.com/f/b254f222608c7384560aad48365cf51a_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645070231
8,30862729,36,12,9,24615,6.0,23475,1140,Delta Moore,https://img2.finalfantasyxiv.com/f/2100562bf39d2ad0a66fa7564c7dadb3_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645120640
9,10112868,36,12,10,24536,8.0,20006,4530,Lhei Kholia,https://img2.finalfantasyxiv.com/f/e2ca205bb409eaf3412c649c49d14b61_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645084877
10,10304010,36,12,11,20013,10.0,15153,4860,Fin Raise,https://img2.finalfantasyxiv.com/f/92bb4bf7baefb2314b18e0420c4b9eb0_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645182475
11,21773381,36,12,12,17164,11.0,11974,5190,Avyeugh Lyhnne,https://img2.finalfantasyxiv.com/f/a8da91f20dd20008778d5e6a8aa299e4_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645162582
12,25284305,36,12,13,16256,14.0,10196,6060,Leonas Feroq,https://img2.finalfantasyxiv.com/f/e99a64cf6daa8f9a08187bdae6a9954c_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645101016
13,27689408,36,12,14,13706,12.0,10598,3108,Big-brazen Bear,https://img2.finalfantasyxiv.com/f/7efe358c724db1b386e3577db2302385_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644870961
14,22397761,36,12,15,10410,13.0,10410,0,Ami Ra,https://img2.finalfantasyxiv.com/f/a6be612f707dd419376f072d86dee35b_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645077479
