,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,5596838,37,16,1,348462,1.0,271123,77339,Azranahr Stormchaser,https://img2.finalfantasyxiv.com/f/c299f2921b904a0a09c8cd0a6b15ef6f_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644806124
1,25948614,37,16,2,342424,2.0,231794,110630,Daisuke R'kavo,https://img2.finalfantasyxiv.com/f/c68b6ec5a8b50ea83fd55a56d0b8ffd7_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644881237
2,32134542,37,16,3,324826,4.0,227566,97260,Faer Theine,https://img2.finalfantasyxiv.com/f/85e72b581f1cd42b60e045b9eea7467f_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644929085
3,9729614,37,16,4,306806,3.0,230618,76188,Melodie Linea,https://img2.finalfantasyxiv.com/f/e28fde5f0dfb8680ed31ddc20ae499f2_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645048909
4,28983572,37,16,5,290958,5.0,208577,82381,Vanhel Anstendyr,https://img2.finalfantasyxiv.com/f/076b420de2ab941249dbc6e7bd100541_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644644182
5,11195418,37,16,6,283052,6.0,191400,91652,Liathen Sangrine,https://img2.finalfantasyxiv.com/f/f7168370e659c63ece032bf97dd04a7a_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645118470
6,26168461,37,16,7,230675,7.0,173692,56983,Senan O'shea,https://img2.finalfantasyxiv.com/f/bc7314becee9904e9c137a3730faf7ef_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645008787
7,21792044,37,16,8,224495,8.0,161694,62801,Aiko Eleadora,https://img2.finalfantasyxiv.com/f/5402b41137cc95aed23a43810788c9bd_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645143146
8,24276011,37,16,9,205996,11.0,141994,64002,Ayanga Anhashy,https://img2.finalfantasyxiv.com/f/c344399e62b3b60bb9512783ff5bf5bf_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645121135
9,29747511,37,16,10,186023,15.0,129791,56232,Max Dong,https://img2.finalfantasyxiv.com/f/c7111eabe097ba3b0ff0c81271df183a_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645044082
10,16294163,37,16,11,183928,16.0,126783,57145,Midoria Uyagir,https://img2.finalfantasyxiv.com/f/6fcb00bde9e48006cf81b9ccee4c8ab4_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644798624
11,30260874,37,16,12,174749,14.0,132761,41988,Lux Forelle,https://img2.finalfantasyxiv.com/f/3b41a5699c2792d05f380475bacfe88c_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644889731
12,25469253,37,16,13,165023,9.0,158198,6825,Daryn Crowe,https://img2.finalfantasyxiv.com/f/ffee7225772921a424eba47ab4fd39fd_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644914008
13,25726792,37,16,14,150612,10.0,142994,7618,Kazukane Kaisuri,https://img2.finalfantasyxiv.com/f/c5ab38ed3a4742d6f7ae3725b70b2f2e_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645023566
14,24486433,37,16,15,142701,12.0,141635,1066,Kjra Darkblade,https://img2.finalfantasyxiv.com/f/23afa313be8b0774a44ac3f4bd068287_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645094743
15,30969793,37,16,16,140964,19.0,107290,33674,Velorn Scroll-seeker,https://img2.finalfantasyxiv.com/f/d41e011dac3bfddf6ba2eed272fff468_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644933521
16,14282139,37,16,17,138980,21.0,98701,40279,Rinh Tayuun,https://img2.finalfantasyxiv.com/f/f453d76254b4c5c57447dc366290761c_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644805047
17,18594143,37,16,18,134175,13.0,134175,0,Cassia Laurentis,https://img2.finalfantasyxiv.com/f/d8f030a4c42f9122adc250868a5455b9_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644785082
18,16422126,37,16,19,127326,17.0,123660,3666,Poki Maloki,https://img2.finalfantasyxiv.com/f/aad937dfa2cbd47f6a46d5bf88f28d01_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645000930
19,14360264,37,16,20,123381,23.0,82483,40898,Ganbaatar Qestir,https://img2.finalfantasyxiv.com/f/e6999f7d647e99b70e0c7a8b16b39c31_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645153705
20,24100157,37,16,21,122272,18.0,115881,6391,Kazuhira Shizuoka,https://img2.finalfantasyxiv.com/f/9f45bfb8ffa45e2e58906a24793ef7ad_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645103562
21,7008947,37,16,22,111839,20.0,102717,9122,Argentum Zavanh,https://img2.finalfantasyxiv.com/f/987e3e328dfb8f90655c4e511dd567f9_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645141569
22,25345999,37,16,23,89627,26.0,68678,20949,Wahaha Waha,https://img2.finalfantasyxiv.com/f/75c2ce338f7dbafa8a11d886bce0e6c3_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645136230
23,22641819,37,16,24,89341,22.0,83442,5899,Dipp-er Pines,https://img2.finalfantasyxiv.com/f/f02fcdf9e13997750679e589d85d61de_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644788640
24,2558064,37,16,25,78127,28.0,63027,15100,Kihn Osanai,https://img2.finalfantasyxiv.com/f/2c82c2018bbad69df3edb328571ce8f0_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644895586
25,30894401,37,16,26,75046,24.0,75046,0,Shiro Lynore,https://img2.finalfantasyxiv.com/f/9abc5e8ba50219ce4fd98b8c5748d97b_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1644642662
26,8761859,37,16,27,74984,29.0,60726,14258,K'jata Nunh,https://img2.finalfantasyxiv.com/f/8991307d82453e96482cd17cb92e6371_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645011651
