,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,28366595,98,9,1,550699,1.0,422341,128358,Levi Kaunis,https://img2.finalfantasyxiv.com/f/cdcb86d91c8034ff9837ce3119a80bb3_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645201598
1,1244878,98,9,2,291097,3.0,174733,116364,Gyan Custom,https://img2.finalfantasyxiv.com/f/0a851398e895dcd9982d7a1103cdb2c8_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644969768
2,27307897,98,9,3,235144,2.0,182658,52486,Fairy Penguin,https://img2.finalfantasyxiv.com/f/67e91058ad29fbab3104573699305e58_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645122770
3,5420987,98,9,4,112030,4.0,85537,26493,Emery Bloom,https://img2.finalfantasyxiv.com/f/b4b0aba3ba5b89c7154c312b50ef6bf5_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645083239
4,1228051,98,9,5,111822,6.0,51372,60450,Feena Rea,https://img2.finalfantasyxiv.com/f/e6b8ff24bb1b2354b0f77a74a942fd0a_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645036364
5,21785998,98,9,6,59731,11.0,33759,25972,Beatrix Redrose,https://img2.finalfantasyxiv.com/f/375a0a8518f56238d09c3febdcf9a2de_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644950592
6,26900423,98,9,7,56650,5.0,56650,0,Toy Zaraki,https://img2.finalfantasyxiv.com/f/1577b92920b0cf71ee2a24b403be8bca_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644833705
7,5505124,98,9,8,53757,7.0,38870,14887,Alicia Resuka,https://img2.finalfantasyxiv.com/f/b7b88494ed397823fb906f07172802ae_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645100257
8,10962499,98,9,9,49683,12.0,32689,16994,Mana April,https://img2.finalfantasyxiv.com/f/938da93ed44c74d14b31629a6d798c4e_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644810055
9,1326374,98,9,10,47357,8.0,36571,10786,Mosu Chan,https://img2.finalfantasyxiv.com/f/9b0523f585f51feab6a7e5d0f0ada9c6_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644876654
10,25678483,98,9,11,47134,10.0,34245,12889,Hal Haaln,https://img2.finalfantasyxiv.com/f/6ff30b63e8097e1f10145ce948daf67f_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644926404
11,505010,98,9,12,44371,9.0,35077,9294,Holy Starlight,https://img2.finalfantasyxiv.com/f/3d15a892f3850015b8a8a6eb3e515580_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644974346
12,19472899,98,9,13,42440,19.0,13731,28709,Teto Yuzu,https://img2.finalfantasyxiv.com/f/dd5448ebd02ecdc1b5020e786aa3a544_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1633762515
13,26783756,98,9,14,36719,13.0,26622,10097,Nhayuze Miletos,https://img2.finalfantasyxiv.com/f/a96f9358ab701e7976b26f31cf8e2d04_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644885750
14,25275012,98,9,15,31734,14.0,20378,11356,Alice Tail,https://img2.finalfantasyxiv.com/f/976b66a06453541df5d546234c4229da_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645112180
15,3191717,98,9,16,28868,16.0,19544,9324,Tatari Yasiro,https://img2.finalfantasyxiv.com/f/28060d7118794da0ff0179de13ad3aa8_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645186226
16,22082683,98,9,17,28043,17.0,18642,9401,Riffle Blanche,https://img2.finalfantasyxiv.com/f/6a888a05fd74573e073c7f53632883ce_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645053712
17,8307716,98,9,18,20028,15.0,20028,0,Paral Dropov,https://img2.finalfantasyxiv.com/f/f95c79343b5643c60cd75e34bd706973_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644675283
18,3207652,98,9,19,19945,21.0,12509,7436,Seiryu Kun,https://img2.finalfantasyxiv.com/f/f18291f5e9f553777b1e5f2fc9ec692b_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644950329
19,29424801,98,9,20,15535,22.0,12025,3510,Saki Koumei,https://img2.finalfantasyxiv.com/f/7c3b37004fd2bb96b493b5c1b1f98f55_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645101065
20,765786,98,9,21,15464,28.0,8208,7256,Greif Schwarzschild,https://img2.finalfantasyxiv.com/f/cd5b1f3b7517ac06454c341130bb219f_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645041815
21,29951860,98,9,22,15008,18.0,13825,1183,Annellyse Pudding,https://img2.finalfantasyxiv.com/f/ed34f953609487f32035bbf58e48b182_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644957783
22,2565858,98,9,23,14587,30.0,6983,7604,Tiara Rabbit,https://img2.finalfantasyxiv.com/f/935276ec44c7890ae0a0793865964d59_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645004397
23,21883581,98,9,24,12991,27.0,8294,4697,Sato Aogane,https://img2.finalfantasyxiv.com/f/54585b315be307d8934085d1ecd2348b_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645073356
24,30584038,98,9,25,12750,20.0,12750,0,Anbi Sewagakari,https://img2.finalfantasyxiv.com/f/7cb680401ee4e6997d6ef4fbf233dcdd_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645198220
25,7041554,98,9,26,12255,24.0,9734,2521,Tilla Souther,https://img2.finalfantasyxiv.com/f/8e94f5d09f5ef508bea8faa49536c944_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645201590
26,14058492,98,9,27,10058,23.0,10058,0,Ichigo- Daifuku,https://img2.finalfantasyxiv.com/f/9c4af2ad9194063af08983e0e642edac_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645159270
27,24222626,98,9,28,9722,25.0,9722,0,Alan Mierqid,https://img2.finalfantasyxiv.com/f/4c0d47213812263b75da12cc899bee2c_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644907013
28,29906683,98,9,29,8820,33.0,5640,3180,Aru Goen,https://img2.finalfantasyxiv.com/f/6159e073f4d2667b9f9c1e46df994a36_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644962379
29,32750318,98,9,30,8664,26.0,8664,0,Run Ru-n,https://img2.finalfantasyxiv.com/f/449f5ef215246a714a0d06b302c24bc8_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644992884
30,20092960,98,9,31,7660,29.0,7660,0,Pest Auau,https://img2.finalfantasyxiv.com/f/11a94406ca4effebba586ce210628751_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645063077
31,20133752,98,9,32,7351,34.0,5636,1715,Leo Hearty,https://img2.finalfantasyxiv.com/f/c616588e9cfb16176ff0326e3b3dd8f7_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644983517
32,30279542,98,9,33,6464,39.0,4745,1719,Hamin Solainteau,https://img2.finalfantasyxiv.com/f/486f79f35199daab3b0cc28285bfd186_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645195039
33,32545604,98,9,34,6354,85.0,1325,5029,Meow Kuroneko,https://img2.finalfantasyxiv.com/f/5224cb52a6060a365ad9235b73c4b2ec_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644894935
34,30366208,98,9,35,6330,45.0,3840,2490,Quole Silver,https://img2.finalfantasyxiv.com/f/6129fd994daf9b0c457177951ae627b9_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644942803
35,531046,98,9,36,6234,40.0,4479,1755,Agrias Oaks,https://img2.finalfantasyxiv.com/f/5b92d3ff8065f372ed447fd6dbe0ac94_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644880029
36,28627567,98,9,37,6000,46.0,3780,2220,Villaria Haar,https://img2.finalfantasyxiv.com/f/8d61caf8e2044cd75b0e91fff5281d4d_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645039957
37,2468247,98,9,38,5920,56.0,3120,2800,Elnath Alcyone,https://img2.finalfantasyxiv.com/f/b1bf60e08aeb3bc8fd4ad92bfb9f5d6d_87b7d447f40b06dfc7228caf195f7dcffc0_96x96.jpg?1645110278
38,869295,98,9,39,5880,31.0,5880,0,Rado Black,https://img2.finalfantasyxiv.com/f/b9ba4aa7c3762db9387e5355bd853b7c_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645127157
39,17801795,98,9,40,5817,38.0,4917,900,Note Silver,https://img2.finalfantasyxiv.com/f/c8d2e9e60d48296a34290e57de4581ab_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645160406
40,8066319,98,9,41,5649,32.0,5649,0,Sippu Valkyrja,https://img2.finalfantasyxiv.com/f/73bc661859d8a8f9ee9aabd807703691_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645105617
41,28819601,98,9,42,5490,54.0,3210,2280,Subaru Hyuga,https://img2.finalfantasyxiv.com/f/59ce525268593d2f40e01bd3addc31a8_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645089179
42,23084873,98,9,43,5402,35.0,5402,0,Pia Lantana,https://img2.finalfantasyxiv.com/f/590765633c3e6f4f4b23773c2612776a_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645072433
43,1225394,98,9,44,5365,36.0,5365,0,Shido Leonhart,https://img2.finalfantasyxiv.com/f/18ea45f6012f043520dd6c7857951129_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644789932
44,23438431,98,9,45,5335,37.0,5335,0,Maamu Country,https://img2.finalfantasyxiv.com/f/e665d1444fb9cf8cd94f3214379e238a_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644916122
45,25746395,98,9,46,5235,77.0,1591,3644,Lolo Moo,https://img2.finalfantasyxiv.com/f/f2e7e096e1a3d4fa270b9a00a2c019b6_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645012196
46,19405860,98,9,47,5130,44.0,3840,1290,Apricot Tailor,https://img2.finalfantasyxiv.com/f/c0ef90ae203b845a6dca6f9180fa4e4a_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645062466
47,22692007,98,9,48,5116,51.0,3346,1770,Siiya Parze,https://img2.finalfantasyxiv.com/f/6164d95d105481c2e5fe2366095ce6ef_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645111807
48,2490840,98,9,49,4976,58.0,2938,2038,Hiro Xiii'f,https://img2.finalfantasyxiv.com/f/1dc8089ebb567b55b82b38d697a81526_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645095180
49,25034271,98,9,50,4861,60.0,2595,2266,Shina Farrot,https://img2.finalfantasyxiv.com/f/98519f7212a06aae930517d6b310dfce_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644741144
50,21781865,98,9,51,4288,41.0,4288,0,Watashino Vita,https://img2.finalfantasyxiv.com/f/e27201e12889863bbf4c289b6bc9045d_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645118918
51,25262622,98,9,52,4206,42.0,4206,0,Xray Xxx,https://img2.finalfantasyxiv.com/f/2dc6c437745be07f7eaef1f28e2ae4b7_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644977683
52,3261121,98,9,53,4139,53.0,3240,899,R'shan Tia,https://img2.finalfantasyxiv.com/f/8c52379e775fe6c6a79b32af33a023af_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645203172
53,505382,98,9,54,4017,88.0,1260,2757,Ree Bismarck,https://img2.finalfantasyxiv.com/f/5509ad4ef544f272b90fa65a7a2f621a_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645039984
54,4050753,98,9,55,3940,43.0,3940,0,Semi Nepchino,https://img2.finalfantasyxiv.com/f/f5b09eb7a60c875359b3909322a0ac3f_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645122577
55,24644748,98,9,56,3921,48.0,3591,330,Ria Blossoms,https://img2.finalfantasyxiv.com/f/ee5402912068b0ef4cd29460cdde34b0_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645059398
56,23256133,98,9,57,3831,63.0,2350,1481,Antomo Rid,https://img2.finalfantasyxiv.com/f/43434fbb441dac122f20d3718abe724e_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645095959
57,19833469,98,9,58,3674,65.0,2325,1349,Mink White,https://img2.finalfantasyxiv.com/f/858ae0c078b04381a0996eb9bfb9962b_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644965631
58,30667189,98,9,59,3663,47.0,3663,0,Sachika Ina,https://img2.finalfantasyxiv.com/f/4368a25c71606ed3b1f2fdc1b0b02c52_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1620557460
59,22681932,98,9,60,3540,49.0,3540,0,Pieni Kkp,https://img2.finalfantasyxiv.com/f/b31c028fe45985fdb20ae7d23cfe663d_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645103507
60,25155653,98,9,61,3451,50.0,3451,0,Calmin Coke,https://img2.finalfantasyxiv.com/f/99757e4c4868b821dd35f1e85796a273_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645036288
61,2301491,98,9,62,3300,52.0,3300,0,Alico Tornadomart,https://img2.finalfantasyxiv.com/f/2b4f08dbd457a5e207bff33f77b0eafc_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645068763
62,25003144,98,9,63,3205,55.0,3205,0,Airi Cruz,https://img2.finalfantasyxiv.com/f/7abae18979ca8d4fbaec00f4e91c6f02_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645014033
63,29397270,98,9,64,2970,,0,2970,Mimiyo Miyo,https://img2.finalfantasyxiv.com/f/9d69a062e5bbfe0e4a9502628c35b7bf_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644736110
64,18452878,98,9,65,2969,57.0,2969,0,Meer Akhabila,https://img2.finalfantasyxiv.com/f/96c9614d6ab212542a5af5041485d329_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645032398
65,1245522,98,9,66,2880,59.0,2880,0,Ray Laphroaig,https://img2.finalfantasyxiv.com/f/6be9a8592b90240acc7b61762d53e38c_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645021810
66,16858062,98,9,67,2820,,0,2820,Mitsu Babellib,https://img2.finalfantasyxiv.com/f/8299eeb07e8cbde101dcb4c803610416_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645012684
67,26580292,98,9,68,2791,76.0,1595,1196,Vighet Fleyxi,https://img2.finalfantasyxiv.com/f/ca9bbf5689ebe80ce04c80062ace7f2c_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644974284
