,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2832422,57,8,1,237488,1.0,123764,113724,Wool Lafleece,https://img2.finalfantasyxiv.com/f/536ca081c01d4824c656afe737bc6207_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645080071
1,23339307,57,8,2,102745,2.0,76002,26743,Melodie Noire,https://img2.finalfantasyxiv.com/f/e62c1b33068d7d9f442e2e524782b395_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645058473
2,30181733,57,8,3,101486,3.0,60454,41032,Lianne Sandlot,https://img2.finalfantasyxiv.com/f/b0671d9b85f40fbf6741766c23cc0ca2_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645071564
3,31296935,57,8,4,64501,4.0,49990,14511,Meowdy Zyrin,https://img2.finalfantasyxiv.com/f/6efd90d913cc68fddc80e67feb65e420_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645110101
4,8384200,57,8,5,62994,5.0,33956,29038,Bushu Bubushu,https://img2.finalfantasyxiv.com/f/8161fbcf8314b59a59d38d1caf771f47_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645142964
5,13387770,57,8,6,51818,33.0,6731,45087,Lissome Lumina,https://img2.finalfantasyxiv.com/f/fa44bc42cb1b6b5511c5302fe5549e6e_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645175440
6,31135366,57,8,7,51188,9.0,22650,28538,Minori Kurogane,https://img2.finalfantasyxiv.com/f/559d09876eb94037036b4e27b4b3f443_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644828057
7,25413204,57,8,8,43414,7.0,32098,11316,Klav Gavin,https://img2.finalfantasyxiv.com/f/d7ad3cf602c845136f872d062f091d49_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645002311
8,21006469,57,8,9,41497,6.0,33659,7838,Anima Fatali,https://img2.finalfantasyxiv.com/f/0b3cf33ff55b484b474fc870ba7babf3_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644861848
9,20701773,57,8,10,34592,10.0,22623,11969,Ume Fukiku,https://img2.finalfantasyxiv.com/f/035a30ec4cebd5797d1e0db9806c8d44_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645058072
10,16761223,57,8,11,30368,29.0,7231,23137,Ty Ashvin,https://img2.finalfantasyxiv.com/f/79502162590a179280cbc9ad9063f250_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645018665
11,19708307,57,8,12,30151,11.0,21037,9114,Quistis Trepe',https://img2.finalfantasyxiv.com/f/f0717c95f7d37c2e446780f08792c1ce_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645049300
12,4590433,57,8,13,28628,8.0,28628,0,Miss Jane,https://img2.finalfantasyxiv.com/f/72c8b59961177dbcaeb407399c62438e_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645196941
13,9101152,57,8,14,27904,14.0,17734,10170,Trusis Bunnyway,https://img2.finalfantasyxiv.com/f/38510eac07120336dbc1fd0ae98ed8d3_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644959619
14,16493139,57,8,15,26214,19.0,11869,14345,Gasena Soleminos,https://img2.finalfantasyxiv.com/f/882bf44f9f042eafdcc366b2f7f40e15_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645125844
15,8802712,57,8,16,23191,13.0,18670,4521,Chris Manabuns,https://img2.finalfantasyxiv.com/f/8a8390e1c25500ff85c95aa8046f1581_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645021857
16,25598898,57,8,17,23149,18.0,11985,11164,Sythorn Dretch,https://img2.finalfantasyxiv.com/f/625ee8c2d72d1682ffc26a2955773fd1_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645188971
17,21602201,57,8,18,21672,12.0,19904,1768,Cirra Velyn,https://img2.finalfantasyxiv.com/f/e1b7ebe331bac33d07f75a6f2b086e13_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645124419
18,28311698,57,8,19,19455,21.0,10679,8776,Leia Organa,https://img2.finalfantasyxiv.com/f/b3c39ed62295b1f5fb102267b906f060_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644785290
19,21462246,57,8,20,17109,17.0,12489,4620,Zutto Hikari,https://img2.finalfantasyxiv.com/f/359b21de6b23e14e8876ad44f4efb2b1_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645202290
20,11638431,57,8,21,16750,41.0,5936,10814,Summer Days,https://img2.finalfantasyxiv.com/f/42b4b00630f6667ae47fba1b3a9c702a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645114261
21,2392581,57,8,22,16738,16.0,12994,3744,Jarle Vagrast,https://img2.finalfantasyxiv.com/f/2e90779a027e7039980dbab2de6fb591_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645046502
22,24281804,57,8,23,16671,15.0,16671,0,Matthieu Chapelier,https://img2.finalfantasyxiv.com/f/0ed76d2cc13a03c99316ccca7f4d120f_d0a0f515a62457570c9b44997063e3c1fc0_96x96.jpg?1645125171
23,29548929,57,8,24,13443,20.0,11108,2335,Karii Hill,https://img2.finalfantasyxiv.com/f/8ed0346903677e791e6c9fba61a1cfee_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645038647
24,28686171,57,8,25,13097,24.0,8447,4650,Rubik Darkwill,https://img2.finalfantasyxiv.com/f/4845cd969d09429f670a7c0e411b92c4_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645010466
25,17718800,57,8,26,13020,38.0,6150,6870,John Kaidus,https://img2.finalfantasyxiv.com/f/b536e9a0a1e0c89e9bdc5e3538c6732d_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645067002
26,4803624,57,8,27,10974,26.0,8069,2905,Aelana Mercer,https://img2.finalfantasyxiv.com/f/9c2b7d2cda7693dc4c5317ef8ce8b816_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644910138
27,2623398,57,8,28,10922,35.0,6573,4349,Amelisa Mcleod,https://img2.finalfantasyxiv.com/f/8cb8178967a3df4b36e2212016d61447_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644957921
28,26612664,57,8,29,10605,,0,10605,Esmerelda Weatherwax,https://img2.finalfantasyxiv.com/f/ea68716f70ee392eba6eee53cc516594_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645067482
29,11802515,57,8,30,10123,28.0,7243,2880,Triad Scheme,https://img2.finalfantasyxiv.com/f/3fe322f1bccb72751385fa0f926e7b31_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645086018
30,31291690,57,8,31,9392,31.0,7020,2372,Marah Sov,https://img2.finalfantasyxiv.com/f/6f8cf752c3012f043e6bdee73affb206_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644642298
31,16138688,57,8,32,8973,36.0,6421,2552,Ali Niama,https://img2.finalfantasyxiv.com/f/33b1962d974eaa74d14495aad54f8db7_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645092487
32,25791425,57,8,33,8962,22.0,8962,0,Absolute Brainlet,https://img2.finalfantasyxiv.com/f/3ca94bc138924fccb547d1ae3ce74297_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645043693
33,12474123,57,8,34,8760,32.0,6963,1797,Lilith Ofthevalley,https://img2.finalfantasyxiv.com/f/4a69b3672cce3724a1e81bd73779d843_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645042425
34,26628872,57,8,35,8719,23.0,8719,0,Velki Atolna,https://img2.finalfantasyxiv.com/f/b45c02d0be9c851afbc296d1e5f2d77a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645122084
35,20462131,57,8,36,8358,25.0,8358,0,Mumume Slo'wagon,https://img2.finalfantasyxiv.com/f/120708c3e7b4db03ce943def017d9b7f_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644769681
36,18227443,57,8,37,7619,37.0,6239,1380,Titania Chevalier,https://img2.finalfantasyxiv.com/f/a8c52a94057781e3e2c891adf2daf155_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645179502
37,9003014,57,8,38,7500,27.0,7500,0,Lorna Noom,https://img2.finalfantasyxiv.com/f/34768756cf40e16b91530321cc4e967b_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645100024
38,23990876,57,8,39,7481,,0,7481,Girth Maximus,https://img2.finalfantasyxiv.com/f/729c5ec2e327cd6c8f902181b6c770ad_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645048599
39,27742365,57,8,40,7373,44.0,5630,1743,Deidra Oswell,https://img2.finalfantasyxiv.com/f/18549381ac119828fb3f4cd990521dc7_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644884160
40,28891336,57,8,41,7182,30.0,7182,0,Angel Kouki,https://img2.finalfantasyxiv.com/f/6654bdb1fb4bb1cd74c94a257ac2ca7e_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645051425
41,30169314,57,8,42,6710,34.0,6710,0,Millefeuille Dolce,https://img2.finalfantasyxiv.com/f/3bd8252232c1aae0b70661cde2d75131_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645139977
42,19582368,57,8,43,6600,50.0,5010,1590,Vashet Saicere,https://img2.finalfantasyxiv.com/f/857a1aad1a4e4a4035c90a1674b6c416_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645064271
43,31368641,57,8,44,6505,46.0,5425,1080,Sais Pepega,https://img2.finalfantasyxiv.com/f/3968e5aaff286ba82e5d284f4b658f8e_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644924731
44,13013193,57,8,45,6326,47.0,5366,960,Marr Caelum,https://img2.finalfantasyxiv.com/f/bfc7684d33ef1a60e6d3541b9eff9003_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645087768
45,27656064,57,8,46,6273,40.0,6123,150,Arbiter Vildred,https://img2.finalfantasyxiv.com/f/e16a13b9660a93d41773c7f57c5f035d_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645054822
