,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,518269,90,10,1,831833,1.0,661617,170216,Dogra Magra,https://img2.finalfantasyxiv.com/f/bb0e61dc084fa12856733929fe20a79e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644810820
1,16056,90,10,2,614142,2.0,392572,221570,Hcmeow Kitty,https://img2.finalfantasyxiv.com/f/ff902fc9b716f3d554577116de1e1e07_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645145423
2,26614,90,10,3,500055,4.0,315849,184206,Licca Fancy,https://img2.finalfantasyxiv.com/f/ac4fabb731f8dec2121dae6f25898717_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645052554
3,23686737,90,10,4,403111,3.0,315972,87139,Arianna Freya,https://img2.finalfantasyxiv.com/f/e71632567ac364993d777858aeee5a6b_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645189360
4,495629,90,10,5,355380,5.0,305239,50141,Chiki Winprim,https://img2.finalfantasyxiv.com/f/52f79e89ee2e3f3828758fa4e8536d13_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645085397
5,5334520,90,10,6,302761,6.0,188824,113937,Neu Schwanstein,https://img2.finalfantasyxiv.com/f/af27643a410e7ba71a514b2b12048bfe_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645072362
6,11516,90,10,7,161814,7.0,128597,33217,Bragi Hynett,https://img2.finalfantasyxiv.com/f/4ed02134e4066431c9dbbb5191a331cd_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644907476
7,29117937,90,10,8,150902,9.0,93068,57834,Toma Walther,https://img2.finalfantasyxiv.com/f/e5953e55ae5fecae0282c8e86555052f_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645055696
8,2559882,90,10,9,145973,8.0,126525,19448,Monokeros Killcal,https://img2.finalfantasyxiv.com/f/25fec53cf2ad129ec3ae6eefc8ebadba_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645153212
9,22974197,90,10,10,141798,10.0,91776,50022,Marvelo Kaj'ik,https://img2.finalfantasyxiv.com/f/2ce028c2050331d4dbf2dd235e5abbca_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645029115
10,2574131,90,10,11,84714,11.0,69012,15702,Siman Beta,https://img2.finalfantasyxiv.com/f/55cc94d2d5c13280a705906abeb147aa_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645185494
11,28721354,90,10,12,72383,13.0,54011,18372,Nyapi Choco,https://img2.finalfantasyxiv.com/f/0d123ad6d69155b9c06533d12bb7e48a_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645146032
