,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,24373600,62,15,1,371148,1.0,293974,77174,Otichan Feywind,https://img2.finalfantasyxiv.com/f/4e7bd0498690aeb0f8c57c585d737461_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645103003
1,2780091,62,15,2,220998,2.0,197570,23428,Sir Nutz,https://img2.finalfantasyxiv.com/f/5cabc8f491ce0b884d182cb4b709363e_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644744138
2,28159536,62,15,3,67186,5.0,46846,20340,Cinnamon Bunny-buns,https://img2.finalfantasyxiv.com/f/ccd5f3613df5151950619c2c5ce27d16_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645037674
3,23795625,62,15,4,60145,3.0,60145,0,Zelsaelth Dark,https://img2.finalfantasyxiv.com/f/b276868dc26cd5726168306f15621aa5_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645175569
4,32921590,62,15,5,58382,4.0,55877,2505,Shinn Einvoya,https://img2.finalfantasyxiv.com/f/ed36d611a16890eefc98acc415ab6d04_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644798960
5,18623596,62,15,6,55730,11.0,29930,25800,Kiba Qiniba,https://img2.finalfantasyxiv.com/f/5766bce180db42ddf928aefb1c77edd4_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645076113
6,6258605,62,15,7,52204,6.0,43190,9014,Mesael Under,https://img2.finalfantasyxiv.com/f/9f53e8e8ae657048985730e3c803e0b1_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644998689
7,28048307,62,15,8,51409,8.0,34326,17083,Mariahh D'arbaan,https://img2.finalfantasyxiv.com/f/130c02819cd2de72a08fb817c6507b0b_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644969712
8,28044623,62,15,9,45293,10.0,32751,12542,Brian Descartes,https://img2.finalfantasyxiv.com/f/826287bffebb55872c6f2ee4e37b00f7_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644908518
9,9657338,62,15,10,38398,9.0,33943,4455,Bunny Sinpai,https://img2.finalfantasyxiv.com/f/f6a54f180fb010b1a7c1d9ef50422616_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644966616
10,28188711,62,15,11,36465,7.0,36465,0,Altan Windsong,https://img2.finalfantasyxiv.com/f/8e865026c3a5d4591f302f563acb460f_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645121074
11,29258555,62,15,12,26892,13.0,17576,9316,Hoshino Yumite,https://img2.finalfantasyxiv.com/f/4347263f3489f49258c0093adca9fcd6_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644826371
12,25671702,62,15,13,24237,15.0,13727,10510,Tei Heichou,https://img2.finalfantasyxiv.com/f/0dfeb6285cb6a56f3537a38bc7abba0c_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644921522
13,21681810,62,15,14,22510,12.0,22510,0,Val'ik Rilou,https://img2.finalfantasyxiv.com/f/5cf164528b5b49261d84b95d833f9f19_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645133869
14,25578441,62,15,15,17350,14.0,17350,0,Taryn Daeol,https://img2.finalfantasyxiv.com/f/bc87df07cda36bf25f077772e8e2f6eb_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644955068
15,30025731,62,15,16,16661,19.0,12645,4016,Honorine Elouan,https://img2.finalfantasyxiv.com/f/5fabadf8353cd688c17fd904d24ac2c0_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645160373
16,19291428,62,15,17,13942,20.0,12444,1498,Faith Rosethorn,https://img2.finalfantasyxiv.com/f/70d2de225d1b80300a6bb815c0e81298_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644807827
17,28305024,62,15,18,13635,16.0,13635,0,Bakha Onigiri,https://img2.finalfantasyxiv.com/f/d349f0f5b8aaf740852c159ae4c0cc47_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644960807
18,20394301,62,15,19,13270,17.0,13270,0,Aria Hawke,https://img2.finalfantasyxiv.com/f/f8349b5480e22265611c7ee7f761c11d_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1644975522
19,29194965,62,15,20,13252,18.0,13252,0,Alois Lefleur,https://img2.finalfantasyxiv.com/f/c1d47050c06081e857899e635fd06529_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645112697
20,2838385,62,15,21,12322,21.0,12322,0,Audito Teken,https://img2.finalfantasyxiv.com/f/9d0b88df43b0c9a92b11a1c89ae5b7cb_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645082016
21,21606654,62,15,22,11021,23.0,8236,2785,Elsin Sandris,https://img2.finalfantasyxiv.com/f/7a410bf44db89047e8b7f5b8fc414b97_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645064232
22,24788484,62,15,23,9381,22.0,9381,0,Kos Fashonti,https://img2.finalfantasyxiv.com/f/7403b5144d30c5deab3ab805466b3d30_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645159080
23,28209006,62,15,24,9101,26.0,6506,2595,Reji Camoa,https://img2.finalfantasyxiv.com/f/b358b883fbf5d2eb60bb98e098dc0e6c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645175889
24,18362286,62,15,25,7461,36.0,3831,3630,Meikit Breakit,https://img2.finalfantasyxiv.com/f/1609817cf78803c81d786ac18392f419_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645098058
25,22468144,62,15,26,7294,24.0,7294,0,Maeve Clarke,https://img2.finalfantasyxiv.com/f/3f9c4249ca3af7750c6567a66b813dc6_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645191023
26,23207701,62,15,27,6836,28.0,5876,960,Ky Krebs,https://img2.finalfantasyxiv.com/f/43c3d22ca8eeb20001c5ac3c0c835592_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645129562
27,29178935,62,15,28,6565,25.0,6565,0,Highcu Darkclaw,https://img2.finalfantasyxiv.com/f/0b424006092062a646b2899c1d50a9f1_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645160319
