,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,30947302,54,17,1,706718,1.0,591405,115313,Cecille Corbelle,https://img2.finalfantasyxiv.com/f/a0e4fbb5d13bd1787a7d90c91928cff3_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645051608
1,28333619,54,17,2,494650,2.0,421341,73309,Kaguya Sama,https://img2.finalfantasyxiv.com/f/71acd0de0238de1fd22e432677e84662_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645148637
2,277420,54,17,3,323236,4.0,255376,67860,Belodais Booty'biscut,https://img2.finalfantasyxiv.com/f/1c2e49f8afc355a9e89f1d792218f97f_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645042532
3,24461988,54,17,4,323167,7.0,243104,80063,Ziv Amariyo,https://img2.finalfantasyxiv.com/f/ba6f0fdf1ee124dc15078d17ee689ff9_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644937492
4,3452041,54,17,5,320373,8.0,231487,88886,Aurellia Weaver,https://img2.finalfantasyxiv.com/f/c06ba7c8be951a67969dce3dab88eff2_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644603951
5,24430454,54,17,6,313926,9.0,231330,82596,Benediction Cumberbat,https://img2.finalfantasyxiv.com/f/617b9b5406ee8ef868e415601bb6eed8_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644925900
6,22873054,54,17,7,305325,11.0,211602,93723,Diplo Poda,https://img2.finalfantasyxiv.com/f/4e7ccd0b2046dc07d7acb7c0e8e957d9_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645046044
7,4024583,54,17,8,299844,6.0,244647,55197,Leliel Amatus,https://img2.finalfantasyxiv.com/f/f5cbd32befeea277b1a9eba9d6e2c804_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645117213
8,3396610,54,17,9,296239,13.0,204365,91874,Sunday White,https://img2.finalfantasyxiv.com/f/68dfcf1730dd886785bd9a44dd631941_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645056233
9,23587311,54,17,10,283049,3.0,258596,24453,Albedo Sunkist,https://img2.finalfantasyxiv.com/f/7f18216a26a96f29eb6061836e0b6d96_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645065995
10,26480057,54,17,11,277448,10.0,225344,52104,Ridley Hansfjord,https://img2.finalfantasyxiv.com/f/8164fdf0458a028f57ff47fd8596c1af_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645066320
11,28197136,54,17,12,275850,12.0,204460,71390,Tal'raja Vheo,https://img2.finalfantasyxiv.com/f/75221c83d673a0e059b9e4c317b662b3_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644607174
12,31306850,54,17,13,273206,14.0,203903,69303,Astrelle Vairemont,https://img2.finalfantasyxiv.com/f/f0d5140983db44c3c7e268ee35add817_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645136030
13,29586548,54,17,14,246733,5.0,246733,0,Lorelei Maristella,https://img2.finalfantasyxiv.com/f/067b90a8923fe212497194d7cbafc713_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644606451
14,26594614,54,17,15,219055,17.0,162909,56146,Sakura Sedai,https://img2.finalfantasyxiv.com/f/f949c39845738b55f8a5a05deb8d77e9_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644935684
15,6525020,54,17,16,215942,15.0,176500,39442,Lyseria Luna'diel,https://img2.finalfantasyxiv.com/f/ab7aff11a43cfeebd36aed5499950161_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645120899
16,33061657,54,17,17,198734,16.0,164712,34022,Mazikeen' Morningstar,https://img2.finalfantasyxiv.com/f/371ba08b0fb03e08c113a25875228044_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645112557
17,10918434,54,17,18,145104,18.0,145104,0,Hebrew Hammer,https://img2.finalfantasyxiv.com/f/6c20f82f19cdb6c52fc12490f1bb91d6_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644868931
18,26978780,54,17,19,143249,26.0,101689,41560,Pookia Jughashvili,https://img2.finalfantasyxiv.com/f/b4467caeb70f233ba12894b56fc4cce6_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645189173
19,33030834,54,17,20,136146,25.0,106617,29529,Almond Pocky,https://img2.finalfantasyxiv.com/f/72e7d0f28de509b6d2feb89ce7c378e6_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645073776
20,17339351,54,17,21,132442,23.0,112333,20109,Alice Vairemont,https://img2.finalfantasyxiv.com/f/7a0c242d66b88a182affbffcd5a3e786_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645106239
21,28694412,54,17,22,131423,24.0,111183,20240,Xoz Dragon,https://img2.finalfantasyxiv.com/f/b9cddad3db5e4b92277bab87a52f60e6_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644921691
22,17112972,54,17,23,122944,19.0,122944,0,Captain Dart,https://img2.finalfantasyxiv.com/f/52b84072c27367fa6852042384bce8a0_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644808286
23,20780968,54,17,24,122310,20.0,122310,0,Lilaea Celaeno,https://img2.finalfantasyxiv.com/f/d200ab65b51b69ab8acbc062182dc9a9_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645059948
24,17863012,54,17,25,122046,21.0,122046,0,Xyrald Nierscript,https://img2.finalfantasyxiv.com/f/e29d78629a09d44dfdecd6d8ea4c29f5_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645141508
25,32192975,54,17,26,118201,27.0,100560,17641,Laila Valentina,https://img2.finalfantasyxiv.com/f/bc903e62d24e99a00a47ae8cbb3707ee_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645181106
