,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22653318,46,16,1,488346,1.0,373534,114812,Kureha Veealune,https://img2.finalfantasyxiv.com/f/c479ab6ba3308e9222d4d36444414e11_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645158013
1,15544528,46,16,2,410001,3.0,322211,87790,Knee Noah,https://img2.finalfantasyxiv.com/f/890e3f4847271e9ef0e53dd3de08cf40_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644842859
2,30544154,46,16,3,392990,4.0,308337,84653,Sai Smalldevil,https://img2.finalfantasyxiv.com/f/a7ed73581faf68d3e404aedd1be5b850_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644935368
3,3743290,46,16,4,352439,10.0,228802,123637,Noir Cielnocturne,https://img2.finalfantasyxiv.com/f/c701243b1a562de2533725195cea1963_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644947261
4,5570063,46,16,5,343900,2.0,329288,14612,Mogu Crescent,https://img2.finalfantasyxiv.com/f/e8037d72f7a74eea8584babc313ece57_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645083586
5,28745753,46,16,6,318488,8.0,239367,79121,Yuki Howard,https://img2.finalfantasyxiv.com/f/2a60b14046387401c5812d64ee253f6e_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644776727
6,30346350,46,16,7,305020,7.0,243987,61033,Yugito Magia,https://img2.finalfantasyxiv.com/f/4fe61e0a6d46e1c3889431a50f8b5ad2_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644829444
7,32024853,46,16,8,293540,6.0,248935,44605,Megu Mikasa,https://img2.finalfantasyxiv.com/f/65b54a9b945c1973ea368abf07dade71_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644916477
8,18545180,46,16,9,285095,5.0,250454,34641,Lancer Yan,https://img2.finalfantasyxiv.com/f/b5d95c2f29f83c258c8ed96425acd32b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645122048
9,3683019,46,16,10,260928,9.0,232070,28858,Bern Ermert,https://img2.finalfantasyxiv.com/f/f4dbd54983c525484208784a1e5b2f29_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645169758
10,1227945,46,16,11,213453,12.0,174479,38974,Marjoram Sweet,https://img2.finalfantasyxiv.com/f/774c06172a1197aac9112bbce0546860_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644994960
11,2579765,46,16,12,198981,11.0,187701,11280,Nicolaj Jensen,https://img2.finalfantasyxiv.com/f/e0da47c81326a24b3d0941dca4f14b0e_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645014208
12,26038696,46,16,13,185681,15.0,147336,38345,Death Ojou,https://img2.finalfantasyxiv.com/f/776fcf995073f6db17acec7810527415_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645036933
13,31983215,46,16,14,184491,13.0,150855,33636,Shiina Ayase,https://img2.finalfantasyxiv.com/f/6e279f0d77ff919c9b701acf71ac7ba8_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644884608
14,22294712,46,16,15,183661,14.0,148968,34693,Zephirin Valhourdin,https://img2.finalfantasyxiv.com/f/59293440d33356efe0cd1fe00eebd8d3_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644977058
15,31767799,46,16,16,178642,17.0,139044,39598,Macaroni Mezz,https://img2.finalfantasyxiv.com/f/a71b1f3230143138f5f4297137303498_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645143360
16,23161779,46,16,17,176932,16.0,144549,32383,Suzuna Ougi,https://img2.finalfantasyxiv.com/f/9c200580f45eeeccc8b449f97ff250d3_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645157334
17,25362119,46,16,18,143243,24.0,93239,50004,Maple Mint,https://img2.finalfantasyxiv.com/f/4bb20ae222be68449b02cb5686accc0b_87b7d447f40b06dfc7228caf195f7dcffc0_96x96.jpg?1644967592
18,23077007,46,16,19,136784,19.0,112023,24761,Reize Qestir,https://img2.finalfantasyxiv.com/f/6dd0357291a1ec723e0c61f8a3992cbb_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645105750
19,2834730,46,16,20,122605,23.0,96735,25870,Mirano Oka,https://img2.finalfantasyxiv.com/f/4c6565df6accbb7a5f63db619fc3caf7_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645112566
20,28368141,46,16,21,118828,21.0,102621,16207,Magnolia Qalli,https://img2.finalfantasyxiv.com/f/fe218864797e41db1b9037e4ce489e74_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645046552
21,18482796,46,16,22,116498,22.0,98500,17998,Motte Weaver,https://img2.finalfantasyxiv.com/f/79a6d527d7f80f6337ef7b92ad6ff2db_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645126840
22,29287803,46,16,23,116161,18.0,115316,845,Orange Shark,https://img2.finalfantasyxiv.com/f/45ccefbab528006175c02fe6c20f7fb1_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645085596
23,31568153,46,16,24,115036,30.0,82339,32697,Sanmen Roppi,https://img2.finalfantasyxiv.com/f/3255e446cf28e0ff59b8be31df0f4533_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644792778
24,21739610,46,16,25,112992,26.0,91303,21689,Muse Schwarzer,https://img2.finalfantasyxiv.com/f/4f30541c56ba454c8f9a514d4a9350bb_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644966562
25,20692338,46,16,26,112103,29.0,86058,26045,Tou Rock,https://img2.finalfantasyxiv.com/f/8b21a533f7899d5cf3c6c1019b4d38ef_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645074472
26,2590042,46,16,27,108548,25.0,92588,15960,Oumi Nylund,https://img2.finalfantasyxiv.com/f/8695ae874aa9de12e0bdfb722fd03415_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645124656
27,31067337,46,16,28,106766,20.0,106766,0,Sabyhico Mackerel,https://img2.finalfantasyxiv.com/f/ea99ae28333007eb2c9002b88bca490d_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645019614
28,2297643,46,16,29,104859,28.0,88197,16662,Mustafa Volcan,https://img2.finalfantasyxiv.com/f/4975fd4e7ddacc651324f55f3740ab54_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645089913
29,17741337,46,16,30,95704,27.0,88554,7150,Remol Hena,https://img2.finalfantasyxiv.com/f/fea9c58f9f3fb67f7809f57faaa12baa_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645082427
30,6788057,46,16,31,91501,37.0,68522,22979,Fiz Hain,https://img2.finalfantasyxiv.com/f/279ac864b8ceddb64475bad7870da95f_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644882534
31,26272262,46,16,32,91454,72.0,43373,48081,Taruru Waldorf,https://img2.finalfantasyxiv.com/f/192b37effc6f27fce86d960cec1e3bcc_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644772669
32,30906486,46,16,33,89841,39.0,64977,24864,Jya Rara,https://img2.finalfantasyxiv.com/f/d36da905a5b672bbc7b0e092714c426b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644787909
33,3330488,46,16,34,88870,32.0,74078,14792,Vorraginor Mushroom,https://img2.finalfantasyxiv.com/f/ef87448f38e3087ecd6ce6d8edf88a98_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645067321
34,32023103,46,16,35,88810,38.0,67864,20946,Rarako Rako,https://img2.finalfantasyxiv.com/f/03b29555f4952419f16dff3227671920_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644970192
35,12617820,46,16,36,83226,44.0,60000,23226,Oruha Shiki,https://img2.finalfantasyxiv.com/f/56ddd3a5c94dbe99e9536ccdd853b254_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645079036
36,2053653,46,16,37,81739,47.0,58537,23202,Nekko Ruun,https://img2.finalfantasyxiv.com/f/bd25754e121f5f5723d3790829198849_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645147545
37,13553881,46,16,38,81162,33.0,73831,7331,Hiyoco Dai,https://img2.finalfantasyxiv.com/f/c2e00890a4c84fb719d586e56e76c27e_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645162544
38,28949050,46,16,39,80188,54.0,54493,25695,Poyon Marimo,https://img2.finalfantasyxiv.com/f/68e7c7a95b4986e30f451ee5c8c850ad_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644741034
39,23972566,46,16,40,77802,43.0,60518,17284,Assali Sattooo,https://img2.finalfantasyxiv.com/f/9dd0f5d491a1a6dd0a73faa24bd7bdca_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645201315
40,26992626,46,16,41,77400,41.0,63602,13798,Cello Morinkhuur,https://img2.finalfantasyxiv.com/f/5d61e0bfe1d14fabb31b210cd5918d8d_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645155177
41,29948634,46,16,42,76303,31.0,76303,0,Yona Myzm,https://img2.finalfantasyxiv.com/f/0a3fc4df14522810f53a11db1254a636_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645164864
42,24073338,46,16,43,74415,45.0,59846,14569,Totoji Toji,https://img2.finalfantasyxiv.com/f/b416d065b00320fe99e7f6fd4cd14f2a_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644951683
43,29973089,46,16,44,73860,36.0,71347,2513,Ritzhu Nortivli,https://img2.finalfantasyxiv.com/f/7ad5b0e7c24819ea83c207a1bfc3d461_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1644968351
44,2623654,46,16,45,73342,34.0,73342,0,Yato Beilschmidt,https://img2.finalfantasyxiv.com/f/dbb89bda7cdf1effeb35c102a5f8369c_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645071632
45,30286466,46,16,46,72715,48.0,57480,15235,Nya Nya,https://img2.finalfantasyxiv.com/f/c029e0193bf11b23182934c4310e6422_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645036959
46,3279092,46,16,47,72432,53.0,54669,17763,Fumika Berry,https://img2.finalfantasyxiv.com/f/ee385383f9b2ac0710e36bc050f44fbe_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644974440
47,3003281,46,16,48,71351,35.0,71351,0,Kissshot Acerolaorion,https://img2.finalfantasyxiv.com/f/f686abd1cbfb4f397998bd03dbbad38c_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645129739
48,33058692,46,16,49,69649,49.0,56923,12726,Guren Lala,https://img2.finalfantasyxiv.com/f/d1b6b0f66eb0dbdd63adee1a5dbf056c_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645089456
49,2455520,46,16,50,68984,55.0,54433,14551,Ren Kamu,https://img2.finalfantasyxiv.com/f/7be3ab1d23f35e98f0389249ea4f35fa_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644961848
50,27506817,46,16,51,68045,57.0,53283,14762,Lef Emith,https://img2.finalfantasyxiv.com/f/4aed7bf0fcb0ebbaac68efdc60887ae9_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645186914
51,2522058,46,16,52,67060,50.0,56103,10957,Dymine Dleep,https://img2.finalfantasyxiv.com/f/b6f88cd32b86e051fdbfd97fa5a0fac6_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645113127
52,8050825,46,16,53,66468,46.0,59834,6634,Soy Francell,https://img2.finalfantasyxiv.com/f/6ab796f20d138fd1bf33f399b03060b3_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645068638
53,26921037,46,16,54,64972,67.0,48909,16063,Rose Brown,https://img2.finalfantasyxiv.com/f/32aca041bed7256649fae76c1a850ce5_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644968169
54,17845387,46,16,55,64476,40.0,64476,0,Iris Braunfels,https://img2.finalfantasyxiv.com/f/5005b75b0624411adb5209343ade9075_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645152602
55,19897380,46,16,56,62342,63.0,49764,12578,Yuta Highwind,https://img2.finalfantasyxiv.com/f/43a60747ed6e1494c967c8e2997a7c8b_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645125643
56,31782119,46,16,57,62240,42.0,62240,0,Poco Rico,https://img2.finalfantasyxiv.com/f/087bd9999c28c4ce1be72534f3800756_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644601654
57,3504462,46,16,58,61612,73.0,42419,19193,Orcinus Orca,https://img2.finalfantasyxiv.com/f/9f468b4776caeb4ded4a6017afb68b40_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645195908
58,26428533,46,16,59,61397,52.0,55133,6264,Rinon Varis,https://img2.finalfantasyxiv.com/f/fd60b3ba7219f75006c5ad681e38fb51_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644972725
59,11606324,46,16,60,61239,60.0,52831,8408,Kiri Gaearoad,https://img2.finalfantasyxiv.com/f/9770e38de832fcb0d52c2c6a3832d584_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645181876
60,30615505,46,16,61,60760,62.0,50646,10114,Charlotte Liana,https://img2.finalfantasyxiv.com/f/9eac8e2ab59a318fe600a3feb0cd4696_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644875334
61,30133839,46,16,62,60114,56.0,53523,6591,Chom Pipi,https://img2.finalfantasyxiv.com/f/e9397fa41e3b405bc4a425e874e748e0_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645146516
62,19671815,46,16,63,57445,59.0,53039,4406,Popopo Pocky,https://img2.finalfantasyxiv.com/f/0459ff305054f185e3dcfd724240dbb3_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645006392
63,18294733,46,16,64,57353,76.0,41582,15771,Mikan Duscae,https://img2.finalfantasyxiv.com/f/6c6ad54adaf0d937f94cfebe52845196_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645121344
64,30319961,46,16,65,56974,83.0,40126,16848,Naorin Antoinette,https://img2.finalfantasyxiv.com/f/9666e4b17fd07befc608a5891d5396c3_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644948419
65,17854448,46,16,66,55665,51.0,55665,0,Ruin Historia,https://img2.finalfantasyxiv.com/f/dc89e3d48e8ac72c08fb93b24f58f4d5_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644972933
66,2313214,46,16,67,55611,65.0,49528,6083,Teresa Ghostmage,https://img2.finalfantasyxiv.com/f/5dfdd7517b3e8603e2068a2fc664130a_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645099353
67,30339048,46,16,68,54687,64.0,49694,4993,Erina Nekoneko,https://img2.finalfantasyxiv.com/f/3de704df5160eca55997da44b68f9660_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644824034
68,30819481,46,16,69,53800,66.0,49012,4788,Mari Rimo,https://img2.finalfantasyxiv.com/f/571e0205e2b4dd36a920ad2169789770_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1644848814
