,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26050570,32,10,1,349782,1.0,274653,75129,Niki Quaraney,https://img2.finalfantasyxiv.com/f/345d3d540e7217e47d4fc1562585dfa1_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644777668
1,27708736,32,10,2,270559,2.0,219516,51043,Lucy Seiland,https://img2.finalfantasyxiv.com/f/0a820fde56e7c93e1cd062a05ec43565_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645072533
2,22716780,32,10,3,219066,3.0,180442,38624,Anzen Area,https://img2.finalfantasyxiv.com/f/359bf3e12ff96e0cde75f8e618f27d69_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644790467
3,21218717,32,10,4,196930,5.0,149422,47508,Aneki Seewolf,https://img2.finalfantasyxiv.com/f/bb74ac02131d7eaa7d9d2311da87a095_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645023527
4,26295885,32,10,5,183880,4.0,166602,17278,Karteira Siero,https://img2.finalfantasyxiv.com/f/3e4f2163b539ceda2df4d9068cafb777_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645195935
5,29969446,32,10,6,182169,7.0,129174,52995,Aoi Mato,https://img2.finalfantasyxiv.com/f/80e87665aa5f614adef63a27230dd65e_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1632758198
6,22659893,32,10,7,181335,6.0,145916,35419,Mia Halha,https://img2.finalfantasyxiv.com/f/dce54e536a9021a873320eb7d2b816e5_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645107341
7,26410829,32,10,8,127296,10.0,66869,60427,Jasmine Lyco,https://img2.finalfantasyxiv.com/f/8c23acd78cd8765711f7a3aee4bb8809_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645124478
8,5264569,32,10,9,110923,8.0,110923,0,Mocha Infinite,https://img2.finalfantasyxiv.com/f/2034edaaab818252c1434815ed39c4bf_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645117464
9,22635935,32,10,10,81149,9.0,81149,0,Capri Aries,https://img2.finalfantasyxiv.com/f/4103bc819a7d3bd61434c0a0f75ce059_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644990364
10,25762572,32,10,11,60440,13.0,44419,16021,Kei Folium,https://img2.finalfantasyxiv.com/f/a5f9c06173a0361abde709fd40f45312_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645098550
11,20783917,32,10,12,55332,11.0,52062,3270,Mon Yaku,https://img2.finalfantasyxiv.com/f/5a61a40b69504b11bfb815fb7ebbc5f2_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645000533
12,26301822,32,10,13,51402,12.0,51402,0,Ken Zo,https://img2.finalfantasyxiv.com/f/fb73983d7122bd2afc438ab568dd56b2_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644965402
13,26576986,32,10,14,41003,14.0,41003,0,Nattu Gdgd,https://img2.finalfantasyxiv.com/f/19d1a9171abb40405d7cd4278f2d74a1_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645146144
14,20142944,32,10,15,38106,17.0,25155,12951,Small Goma,https://img2.finalfantasyxiv.com/f/2c22188146faee3ab44660c60584233a_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645111141
15,25216921,32,10,16,35291,91.0,5203,30088,Erich L'sieff,https://img2.finalfantasyxiv.com/f/5bfb3f36b4250438fbc3d044c442e361_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645014355
16,19934924,32,10,17,33002,22.0,18333,14669,Mou Unelma,https://img2.finalfantasyxiv.com/f/eaf459847cba4e763f46aa921a901658_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645175140
17,15709065,32,10,18,32100,15.0,32100,0,Daimonji Gudenaguru,https://img2.finalfantasyxiv.com/f/a421dbecf965ff737453b2cae0b5ab00_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645127436
18,7320280,32,10,19,31099,75.0,6246,24853,Mii Sheffleid,https://img2.finalfantasyxiv.com/f/c90461ad40ef0acd61b1f7fc386aefc0_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644966791
19,29587610,32,10,20,30821,18.0,24724,6097,Dais Pomo,https://img2.finalfantasyxiv.com/f/319f0895526827119c144a2ff4236bf9_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644724509
20,19128834,32,10,21,26474,16.0,26474,0,Lily Nerine,https://img2.finalfantasyxiv.com/f/ce181a1708cf18746d551db742f7b36d_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644992159
21,22741366,32,10,22,24439,28.0,14759,9680,Iwao Thunder,https://img2.finalfantasyxiv.com/f/98454cd307bad0bca6892d1761b36dcd_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644602884
22,29537936,32,10,23,22123,45.0,10166,11957,Zero Einsam,https://img2.finalfantasyxiv.com/f/623c413bfda2ca82aa4fbd6847bf720b_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644817742
23,22623509,32,10,24,21930,19.0,21930,0,Alnair Dianthus,https://img2.finalfantasyxiv.com/f/8dfdcdf475a6a1d7035d21603534d39d_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644965173
