,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,7089795,32,16,1,325146,2.0,256217,68929,Kurid Snake,https://img2.finalfantasyxiv.com/f/57a5744cfea13798f8989e7333880c77_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644949964
1,31975753,32,16,2,301743,1.0,262379,39364,Celica Carmine,https://img2.finalfantasyxiv.com/f/2190609e82d21a538e67a7e664272106_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645103811
2,27248445,32,16,3,280192,3.0,232585,47607,Mao Molkot,https://img2.finalfantasyxiv.com/f/1d3e09471d07c6514aa733e0333ecc33_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644774301
3,4657577,32,16,4,276851,4.0,225266,51585,Pearuth Leftpa,https://img2.finalfantasyxiv.com/f/a999abed20b0ee0569249b42cf3153b6_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645070559
4,6195939,32,16,5,267472,10.0,205522,61950,Nyanko Koneko,https://img2.finalfantasyxiv.com/f/53fb65348c457e330959b3a04b03e7dc_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645151996
5,27670846,32,16,6,265008,5.0,215090,49918,Poji Gulmi,https://img2.finalfantasyxiv.com/f/7092e380d5a695e9efedf9803eed3ce8_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644635222
6,31246090,32,16,7,263422,8.0,206755,56667,Ham Let,https://img2.finalfantasyxiv.com/f/07be10a93d85696bc96ef689733050ec_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644635293
7,27069440,32,16,8,261985,6.0,214693,47292,Syo Murattexi-,https://img2.finalfantasyxiv.com/f/6fc760e46195dc483fd50351f11683fd_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644946363
8,11555919,32,16,9,249609,12.0,183336,66273,Ceana Sloth,https://img2.finalfantasyxiv.com/f/e8ab9d23579079be899ed8f8dfaf1fbe_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644818629
9,28081629,32,16,10,248542,9.0,205774,42768,Benzaburo Kawaya,https://img2.finalfantasyxiv.com/f/4c9ea946d855a317ba9c4b7b83070eec_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644759087
10,25712872,32,16,11,239112,7.0,208423,30689,Gaisuk Sasanagi,https://img2.finalfantasyxiv.com/f/6a1e34e8db1a26b75b7ae881d6cae586_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645159929
