,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,19535693,47,13,1,672284,1.0,537247,135037,Ailu Scarlett,https://img2.finalfantasyxiv.com/f/2820d17a9d1f0c4ad008f72e856b8d04_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645048203
1,24779909,47,13,2,350751,2.0,309614,41137,Liri Rara,https://img2.finalfantasyxiv.com/f/710e3495b2751e7bc01a8947d73111ac_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645054988
2,6843451,47,13,3,224864,3.0,224864,0,Nyantotto Lafihna,https://img2.finalfantasyxiv.com/f/d1a4a516bfaf94a4c44697ef8ff1b10d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644845225
3,19496720,47,13,4,180429,4.0,119305,61124,Suma Tria,https://img2.finalfantasyxiv.com/f/e5d21f6343f6f2e0d0ba7315b70dd326_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644880174
4,28504411,47,13,5,151410,6.0,101333,50077,Elles Coco,https://img2.finalfantasyxiv.com/f/8305753605fe7b9c8925e8fa80bfff71_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644724968
5,26792956,47,13,6,109627,5.0,106967,2660,Sierra Allen,https://img2.finalfantasyxiv.com/f/7394b2987c6758bdcba295b5c9f96bb4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645112458
6,16683894,47,13,7,93369,7.0,57923,35446,Pelsicos Kusanohito,https://img2.finalfantasyxiv.com/f/ac6f438aaf01d87afacb2cae6dba2c2b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645154142
7,29935524,47,13,8,71213,9.0,56073,15140,Kayu Umako,https://img2.finalfantasyxiv.com/f/2c0db4095b504991cdde40b4145c297f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644859966
8,20281137,47,13,9,68312,11.0,48301,20011,Okome Tan,https://img2.finalfantasyxiv.com/f/3fbc12ef8aaf435e88fe8452ce3b6da7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645203514
9,8745853,47,13,10,67550,10.0,51656,15894,Jill Hart,https://img2.finalfantasyxiv.com/f/9c1ce74af87f91326123b1c89159b86d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645040074
10,23028098,47,13,11,63161,8.0,57086,6075,Aoba' Orihara,https://img2.finalfantasyxiv.com/f/c16b3bdab4fd0d634ea703c41bdb7569_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644842092
11,2476045,47,13,12,42861,13.0,41154,1707,Charlotte Elizabeth,https://img2.finalfantasyxiv.com/f/0a693a3d346c2232081fce62eb70500e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645077656
12,23866645,47,13,13,41925,12.0,41925,0,Usaco Amell,https://img2.finalfantasyxiv.com/f/64f94c4c8c590a3e591f688207af51d1_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645135230
13,21298920,47,13,14,39564,14.0,34404,5160,Ruri Nemo,https://img2.finalfantasyxiv.com/f/8ba66d88685ca8e0226f29751c40697c_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645032172
14,33716672,47,13,15,37042,19.0,23954,13088,Shining Lucky,https://img2.finalfantasyxiv.com/f/b5aff8b1b956d7c2c633c91e4e9cb4f7_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645189095
15,2165107,47,13,16,36192,18.0,24050,12142,Rusedia Rosenhaim,https://img2.finalfantasyxiv.com/f/5cc7fec0eacfa6f7802f870d40a8f728_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645018742
16,15463036,47,13,17,26254,15.0,26254,0,May Ashley,https://img2.finalfantasyxiv.com/f/faff2a4854a0695ea15f3813923c78fe_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645031376
17,24243704,47,13,18,25636,16.0,25636,0,Kurenai Azull,https://img2.finalfantasyxiv.com/f/674dfc6352e5c01d178f6a2e5e29d1af_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645035801
18,21314443,47,13,19,24450,20.0,22590,1860,Kobato Lee,https://img2.finalfantasyxiv.com/f/797f3f8050e73c7bc31492216c81e4ab_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644998762
19,11345349,47,13,20,24205,17.0,24205,0,Yukke Ontama,https://img2.finalfantasyxiv.com/f/fee993edd9598203c1cdbd0d2899d5a0_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645137528
20,25438626,47,13,21,24106,21.0,19939,4167,Chrono Flahya,https://img2.finalfantasyxiv.com/f/4c0707c05e9ff3850755cace6b4a06b5_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645076849
21,24135408,47,13,22,18535,23.0,16445,2090,Mijun Corone,https://img2.finalfantasyxiv.com/f/2557c2a82ad3cfebf6c661ad6eae8c77_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645011549
22,33003220,47,13,23,17906,27.0,11906,6000,A'lice Browne,https://img2.finalfantasyxiv.com/f/143400ee00e53066e2fd7983cb64a7e4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644942865
23,21820424,47,13,24,16940,26.0,14270,2670,Merci Gretsch,https://img2.finalfantasyxiv.com/f/6a641925940cd6d608786d5e6b23f2b3_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645015839
24,19262331,47,13,25,16500,22.0,16500,0,Kaze Yasha,https://img2.finalfantasyxiv.com/f/0f085b227f45302ad2884753ac7be74d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645050391
25,23855422,47,13,26,15403,24.0,15403,0,Lysorm Ville,https://img2.finalfantasyxiv.com/f/8610ff66037f6277ce021a61081a906f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645073354
26,21182890,47,13,27,14931,25.0,14931,0,L'arica Luc,https://img2.finalfantasyxiv.com/f/4b11f026b0aaa2449a651278fb51b646_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644989452
27,26471694,47,13,28,14096,34.0,10016,4080,Leche La,https://img2.finalfantasyxiv.com/f/7c5a1294c6610649988cee0d60788e1d_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645114758
28,3158072,47,13,29,13732,30.0,10557,3175,Pine Strife,https://img2.finalfantasyxiv.com/f/fc5bdb1b306532a6cb07079acaa0222b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645019805
29,14489360,47,13,30,13394,44.0,8936,4458,Harvest Rain,https://img2.finalfantasyxiv.com/f/19a851a64eace4d6543c52ad35ddb096_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645153120
30,18219886,47,13,31,13252,32.0,10492,2760,Ryobuchin Noa,https://img2.finalfantasyxiv.com/f/ffe6222456a97a05ae90582e3e5d4a2b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645136525
31,11557242,47,13,32,12840,31.0,10530,2310,Still'k' Argent,https://img2.finalfantasyxiv.com/f/f5da9a35a35c0bfe6412e05ce95f4b71_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644961852
32,2174985,47,13,33,12371,28.0,11473,898,Pesu Oschon,https://img2.finalfantasyxiv.com/f/4cdaf48a03000c5732368248ac591942_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645155880
33,2585603,47,13,34,12232,42.0,8995,3237,Berkut Vanguard,https://img2.finalfantasyxiv.com/f/8198c2c8ed503f6b99e96235dd9fef07_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644973132
34,2418335,47,13,35,11262,40.0,9161,2101,Sora Ina,https://img2.finalfantasyxiv.com/f/67f7f941bf79bf20fd291a58a221ab9e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645012740
35,14084987,47,13,36,10995,29.0,10995,0,Fetico Carlyle,https://img2.finalfantasyxiv.com/f/4db7070061cadae26b5b40c240905c74_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645069733
36,10161452,47,13,37,10723,38.0,9523,1200,Valk Svanhvit,https://img2.finalfantasyxiv.com/f/043585543b15c1ccd8fbdfd6c4024684_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645163870
37,19398100,47,13,38,10194,33.0,10194,0,Kururu Ruru,https://img2.finalfantasyxiv.com/f/d3bcd1e98c7c6b032573937045cd0e1e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645050960
38,25710758,47,13,39,9657,35.0,9657,0,Mippon Pon,https://img2.finalfantasyxiv.com/f/cb1f6db42e7be4166f2e2036f557d2ea_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645142101
39,17608710,47,13,40,9569,36.0,9569,0,Paode Ring-q-,https://img2.finalfantasyxiv.com/f/8ed8ab32b7afe69adbd58697329fe33f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644839319
