,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,334364,41,17,1,610834,1.0,516964,93870,Yiv Yiv,https://img2.finalfantasyxiv.com/f/a25114cfaf4ae0b6a9b4b37c8a2aa801_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645032437
1,33605594,41,17,2,532683,2.0,458908,73775,Riku Takamiya,https://img2.finalfantasyxiv.com/f/8badb5179f53cab513de565effb69a9b_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644606016
2,30570423,41,17,3,520086,3.0,445651,74435,Randyl Dingus,https://img2.finalfantasyxiv.com/f/e2a592d74288fd0a3889e2b659a8a3ec_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644697354
3,24243069,41,17,4,432946,4.0,366530,66416,Lockheed Aion,https://img2.finalfantasyxiv.com/f/9ea6d47f3221bf202c86f89a678ee734_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645163606
4,24640024,41,17,5,431059,7.0,346962,84097,Asher Wake,https://img2.finalfantasyxiv.com/f/fbb90f955b20c802cdc1b9419f8b1d57_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645190298
5,12158797,41,17,6,426506,6.0,348544,77962,Caffeine Pulse,https://img2.finalfantasyxiv.com/f/12e6a1c2ac5a4c747e7b951d5c04e9d6_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645001188
6,24347777,41,17,7,419349,5.0,348697,70652,Xion Asterismos,https://img2.finalfantasyxiv.com/f/113dbee72605ee8a6a968e5e960d3b4b_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644921650
7,4082611,41,17,8,389766,8.0,316544,73222,Bullyway Diadome,https://img2.finalfantasyxiv.com/f/ca59922b74e1223ee810562f294d550c_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645151233
8,28625015,41,17,9,379129,9.0,314738,64391,Protector Fandaniel,https://img2.finalfantasyxiv.com/f/83c69d673b5cc827c080e23c024cb4d6_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1645094314
9,17176715,41,17,10,281020,10.0,267871,13149,Metztli Azaroa,https://img2.finalfantasyxiv.com/f/df6f7814861c7b7de27d21278e3a24bb_8106f857613f8fb994b0be37b26ff4bafc0_96x96.jpg?1644929568
