,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,27031786,68,13,1,1500000,1.0,1111111,388889,Yuzu Sakusaku,https://img2.finalfantasyxiv.com/f/00e8be99599fef6b3339875899ce82d8_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644851718
1,3581188,68,13,2,500600,3.0,430889,69711,Nina Strehl,https://img2.finalfantasyxiv.com/f/437dcc853d6f690d623db43105e5afd3_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644963805
2,8527514,68,13,3,500181,2.0,500181,0,Shin Mesimessiah,https://img2.finalfantasyxiv.com/f/1b64abdcd2219ec40364d552d603afd3_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644944600
3,26135888,68,13,4,276500,5.0,208224,68276,Nekokura Nekono,https://img2.finalfantasyxiv.com/f/856cffd258e47632bc7238c0536b6ffc_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645079194
4,28080278,68,13,5,255388,6.0,198532,56856,Lunalit Ashteroze,https://img2.finalfantasyxiv.com/f/827b799860ed1b1159ab2ebdee2dc2b8_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644972508
5,18985084,68,13,6,250654,4.0,238617,12037,Massa Will,https://img2.finalfantasyxiv.com/f/8b49cf457ae1bf81bc54acb3f96c6eb4_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645060979
6,26133548,68,13,7,202918,7.0,173753,29165,Noa Nix,https://img2.finalfantasyxiv.com/f/9c42d713e4b314305fd038c942925681_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644882549
7,1684196,68,13,8,190715,9.0,100604,90111,Yi Littleluna,https://img2.finalfantasyxiv.com/f/1d0cb26dbfc119384d60f5dc3cc80440_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645093422
8,7254052,68,13,9,102219,8.0,102219,0,Mikeru Ryuuhi,https://img2.finalfantasyxiv.com/f/91e974994ea3bc1baa59da83e2f2c9ff_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644860060
9,24640656,68,13,10,101450,10.0,88686,12764,Aya Alice,https://img2.finalfantasyxiv.com/f/6f706233a1cbe4f27c15556a3590d87d_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645071102
10,19773058,68,13,11,87470,12.0,60720,26750,Hisui Sui,https://img2.finalfantasyxiv.com/f/717ef2c20106ffd77f95853dcc65e3cf_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644902079
11,26179792,68,13,12,77600,11.0,63957,13643,Lance Leblanc,https://img2.finalfantasyxiv.com/f/a576b48ee8be1302df69c6c0c60aea64_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644941564
12,26203410,68,13,13,70587,16.0,37132,33455,Raythtier Artemis,https://img2.finalfantasyxiv.com/f/1db992a05eb5b58f9b63279def4d54bc_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645047357
13,32031707,68,13,14,63936,13.0,49310,14626,Vamirio Red,https://img2.finalfantasyxiv.com/f/875a478a11386b6d43a097992e9bd3a5_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645181696
14,23647168,68,13,15,42843,15.0,39543,3300,Sarah Katy,https://img2.finalfantasyxiv.com/f/ee4d977f40d9321ad94057445ca851f0_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645130544
15,22245040,68,13,16,40064,14.0,40064,0,Shio Ruuun,https://img2.finalfantasyxiv.com/f/fa3f6d4f7db6d6c9684e1ea072473645_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644830191
16,26038326,68,13,17,39773,18.0,25772,14001,Yuki Aria,https://img2.finalfantasyxiv.com/f/4c1fab10729db920a2eb87c04442300b_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645006659
17,17555001,68,13,18,38566,17.0,30963,7603,Lilyan Little,https://img2.finalfantasyxiv.com/f/1c3d236852dcabd8411692e77872a22a_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645155694
18,30284693,68,13,19,25930,43.0,7826,18104,Maruma Meruru,https://img2.finalfantasyxiv.com/f/36a7a5be0ed5b9babf9786e343d6c51b_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645121940
19,21582656,68,13,20,24754,19.0,23953,801,Kaki Persimo,https://img2.finalfantasyxiv.com/f/d16e1dd33ef5bccccf729442489aff21_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645181637
20,16368819,68,13,21,22230,21.0,20430,1800,May Kookai,https://img2.finalfantasyxiv.com/f/4282519dd5773cff38d869955831201c_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645076409
21,29970303,68,13,22,22110,22.0,18510,3600,Amyu Germain,https://img2.finalfantasyxiv.com/f/4f99b10f78671f099ab11f3da57ad456_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645104958
22,26399992,68,13,23,21221,20.0,20484,737,Jose Aldo,https://img2.finalfantasyxiv.com/f/b9fec618bd925abb4faf1b0f3410a8f6_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645124227
23,30404588,68,13,24,17914,23.0,16774,1140,Ria Fhana,https://img2.finalfantasyxiv.com/f/9557fff6903c9f5f2994fca9e4d04696_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644855419
24,28939252,68,13,25,17144,24.0,15143,2001,Pinako Marie,https://img2.finalfantasyxiv.com/f/2ca7432adfc5f79f4a9a74405ec23b28_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644981420
25,26176291,68,13,26,16623,25.0,14863,1760,Haruto Amamiya,https://img2.finalfantasyxiv.com/f/8b69171d6c12951a5744e9fd85f448cd_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645171022
26,1566156,68,13,27,16252,27.0,13014,3238,Jeanne Violetta,https://img2.finalfantasyxiv.com/f/b3ce99ae2d595d74f9a54e0acb60dc32_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645078082
27,17908504,68,13,28,15135,28.0,12108,3027,Aimyu Noclu,https://img2.finalfantasyxiv.com/f/5210bbadd3705730f358d0320790b91a_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644997345
28,16272238,68,13,29,14882,29.0,12071,2811,Yr Laya,https://img2.finalfantasyxiv.com/f/252993d32c0ad16a3c625173ee3214df_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645173590
