,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,21710895,47,17,1,742752,1.0,626818,115934,Yuki Shadow,https://img2.finalfantasyxiv.com/f/6929cab0c121cd5acdc223fa0cd445e9_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645158053
1,21494713,47,17,2,529745,3.0,453076,76669,Courtney Force,https://img2.finalfantasyxiv.com/f/84e9a1272f65079564c15c590782b2ac_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644999896
2,28188330,47,17,3,514493,2.0,489253,25240,Forgiven Eden,https://img2.finalfantasyxiv.com/f/f0a2d905570aeb31413bf2888209108f_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645102145
3,23981582,47,17,4,503935,4.0,422100,81835,Relua Aifrid,https://img2.finalfantasyxiv.com/f/343c981514b9da13e7451a47c88c2165_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645172052
4,21306714,47,17,5,464682,5.0,391779,72903,Haru Cherry,https://img2.finalfantasyxiv.com/f/d037f2bf4ec4f10cbddab7c0f14f9592_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644896565
5,23673867,47,17,6,442194,12.0,317316,124878,Myathy Tkt,https://img2.finalfantasyxiv.com/f/a17cf03e535449495717d4fb9d20c78e_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644847345
6,31712542,47,17,7,435717,9.0,346551,89166,Mimi Cororo,https://img2.finalfantasyxiv.com/f/ea3a6d5248d3d7689468b9f030f91bd9_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644636240
7,6850537,47,17,8,432536,10.0,344786,87750,Paru Espana,https://img2.finalfantasyxiv.com/f/46e64b96ee42c6e1c953f93797857185_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644834573
8,32215529,47,17,9,423972,6.0,371794,52178,Unity Ark,https://img2.finalfantasyxiv.com/f/cb29be8431947a3756d235c2a84e6a82_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645105101
9,24122405,47,17,10,416822,7.0,360324,56498,Momo Bakakuma,https://img2.finalfantasyxiv.com/f/d57809174a6cf40d8e705a27d4a24ad4_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645202703
10,2481963,47,17,11,402415,11.0,333936,68479,Havana Brown,https://img2.finalfantasyxiv.com/f/e131d6c4427a9dd66a635b3b4913e600_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645147988
11,13821879,47,17,12,401781,8.0,352230,49551,Shelt Hishi,https://img2.finalfantasyxiv.com/f/7fd53911f488ae314c7a279fce34820b_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644958547
12,31775614,47,17,13,287559,16.0,212086,75473,Pria Boss,https://img2.finalfantasyxiv.com/f/bcdc984b7112b1f8aeaa32a9492205d5_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645032527
13,22747695,47,17,14,273610,14.0,245583,28027,Rolowan Totowan,https://img2.finalfantasyxiv.com/f/9c716348a787b3398dffd5edb655c9d6_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1644820819
14,28892545,47,17,15,266119,13.0,247880,18239,Menou Maisy,https://img2.finalfantasyxiv.com/f/f9e74a2be4d5e3b8e682fa7639b5f679_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645061368
