,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18933805,48,10,1,592919,2.0,500742,92177,Teo Lerner,https://img2.finalfantasyxiv.com/f/495b195e4c48edacad1c930cb6be4af6_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645061294
1,11809563,48,10,2,561059,3.0,489918,71141,Lycoris Karmin,https://img2.finalfantasyxiv.com/f/ac41287ffc33c3d985bfea8cc897323f_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645136173
2,22946536,48,10,3,552196,1.0,511710,40486,Shio Nagi,https://img2.finalfantasyxiv.com/f/71a137d8879d4d1a0b19c7d78ed8954b_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645045660
3,25247894,48,10,4,487964,4.0,441420,46544,Ada Arnett,https://img2.finalfantasyxiv.com/f/1da0c56fd9ebaaa00c1a6a9a3e2ba0ac_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645038394
4,31779721,48,10,5,283208,5.0,247103,36105,Zeg Zeg,https://img2.finalfantasyxiv.com/f/5f7acd3ea6600a76cf6512ddd42cb83d_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645151458
5,12841636,48,10,6,246997,6.0,246997,0,Magical Macaron,https://img2.finalfantasyxiv.com/f/2c3dbc4ec94cf5e447976b5514702c43_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645160645
6,16785484,48,10,7,211033,7.0,180255,30778,Bossyu Bos,https://img2.finalfantasyxiv.com/f/5ebd912833f3815a74539ffa33631c26_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644636909
7,22808956,48,10,8,197434,9.0,115275,82159,Black Sabbath,https://img2.finalfantasyxiv.com/f/ea271acfbb71f275d593063608579379_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645112696
8,18537224,48,10,9,172036,8.0,138177,33859,Okaka Onigili,https://img2.finalfantasyxiv.com/f/d071e6bd01348a560b57fdf5fe7e379c_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644966460
9,3162188,48,10,10,118018,12.0,79140,38878,Kyaia Nora,https://img2.finalfantasyxiv.com/f/98ca9ffff81f83d20c7282129a2bf4bd_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645188427
10,4674369,48,10,11,109189,11.0,93141,16048,Tanny Kay,https://img2.finalfantasyxiv.com/f/22abcd027a6c2457820370e6dd4542a5_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645115110
11,16387036,48,10,12,103804,10.0,99644,4160,Sena Axis,https://img2.finalfantasyxiv.com/f/89e2052160e36eef927e60170463491b_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645078398
12,6067055,48,10,13,79302,15.0,57954,21348,Nao Pipi,https://img2.finalfantasyxiv.com/f/c6317ea3ff735ed80af60805af7e700e_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1645119996
13,27743675,48,10,14,69998,21.0,36630,33368,Aro Dania,https://img2.finalfantasyxiv.com/f/235d24836d351197742c7605dc8266c3_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644823239
14,24447590,48,10,15,67771,13.0,65683,2088,Miii Michelle,https://img2.finalfantasyxiv.com/f/3faeb5de4cbcf9c5ea153ca56087426a_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644782968
15,18380171,48,10,16,62451,14.0,62451,0,Sugar Salty,https://img2.finalfantasyxiv.com/f/0862ca2553005338a1d0bc99579914ac_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644959269
