,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,13559844,71,11,1,678328,1.0,478014,200314,Fel'unh Ikk,https://img2.finalfantasyxiv.com/f/188c8d46d706bb024a0b2655bf442a4e_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644891304
1,2816952,71,11,2,400094,3.0,331711,68383,Elixir Meow,https://img2.finalfantasyxiv.com/f/bfb123b364d2354b7bde81d805fde3e0_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644977333
2,1802359,71,11,3,378399,4.0,316123,62276,Karmello Waltz,https://img2.finalfantasyxiv.com/f/f40f9138ac303c34a59a5f7b90d6018a_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645102923
3,31140783,71,11,4,376649,2.0,333592,43057,Outinette Blackwish,https://img2.finalfantasyxiv.com/f/03a11f4586aa2c42b9935f2cd8e6aa45_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645157556
4,21159997,71,11,5,260317,5.0,240561,19756,Felis Nanaya,https://img2.finalfantasyxiv.com/f/f964d7a93a6f951bfce44219ccab2b3a_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645191008
5,25265779,71,11,6,200206,6.0,173819,26387,Okami Izumo,https://img2.finalfantasyxiv.com/f/05b744dba0eb829077632f21dd911834_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645051445
6,12837720,71,11,7,190606,7.0,161186,29420,Bruno Destroy,https://img2.finalfantasyxiv.com/f/9d8413debaad84823cf98ce0b5ffa999_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644799777
7,16613172,71,11,8,163590,8.0,129109,34481,Kylar Dusk,https://img2.finalfantasyxiv.com/f/3406e584e94333171a72fe637a04da92_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644959740
8,15724604,71,11,9,142477,11.0,88715,53762,Slifer Sky-dragon,https://img2.finalfantasyxiv.com/f/43866e600222aedfdc04619430a2e410_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645127818
9,23035603,71,11,10,137609,10.0,112961,24648,Tsuki Kodomo,https://img2.finalfantasyxiv.com/f/62391c606428cfd01e2250e438a225b3_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644988079
10,18328122,71,11,11,133440,9.0,124987,8453,Willy Thekid,https://img2.finalfantasyxiv.com/f/b47f02dbe8785d11d8ead9f46033a065_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644866992
11,29593110,71,11,12,91903,12.0,75201,16702,Hiken Demage,https://img2.finalfantasyxiv.com/f/0974ae3db5c11ddfe15a07bbc0b51957_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645054055
12,12244555,71,11,13,89255,16.0,44962,44293,Nitashi Sutoraifu,https://img2.finalfantasyxiv.com/f/44e41a9d66c5b698939d998040dd2582_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644863812
13,9214827,71,11,14,70948,14.0,63171,7777,Anchor Kakara,https://img2.finalfantasyxiv.com/f/db1478acfbe31bb576fbf6d33a5679bf_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644989805
14,7825092,71,11,15,67952,13.0,67952,0,Hitomi Isayama,https://img2.finalfantasyxiv.com/f/4eef5fcc991178978385b1d6de2f7fac_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645104272
15,17764962,71,11,16,48297,15.0,48104,193,Ariella Rhea,https://img2.finalfantasyxiv.com/f/6d42fcb362678a4b132e59d1c16e4a21_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644975404
16,8241399,71,11,17,40653,17.0,38445,2208,Sylvain Landre,https://img2.finalfantasyxiv.com/f/d61f57c771945e2d27fbc178a75727b2_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645007075
17,25085847,71,11,18,36232,18.0,28661,7571,Ace Natsu,https://img2.finalfantasyxiv.com/f/d31c29ee71c28e3963efae39be9f072e_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645141971
18,29900563,71,11,19,33240,19.0,27720,5520,Ferreo Firah,https://img2.finalfantasyxiv.com/f/fe8b310213936c254cc8b94d77b91c07_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645049555
19,21145621,71,11,20,29592,25.0,16683,12909,Ifrita Shivaness,https://img2.finalfantasyxiv.com/f/e07108a95e08d128c7343c1815562b16_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644814357
