,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,31984765,72,12,1,1234567,1.0,1131571,102996,The Pancake,https://img2.finalfantasyxiv.com/f/e9b901dd455fdff1bca2b24d7e318769_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645086285
1,16663415,72,12,2,1024651,2.0,847457,177194,Daddy Shrek,https://img2.finalfantasyxiv.com/f/509e4fd779a2d2b98126aaee27e477de_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1645085687
2,4858723,72,12,3,851946,3.0,737509,114437,Liz Fairweather,https://img2.finalfantasyxiv.com/f/c08b695a424eb064e95c69d2f501fb13_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645087567
3,6666009,72,12,4,681424,4.0,638050,43374,Ex Soldier,https://img2.finalfantasyxiv.com/f/34885a41bb8cf167c16978c0c9b02d02_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645108361
4,10993106,72,12,5,662793,5.0,552126,110667,Tukuyomi Sakurakouji,https://img2.finalfantasyxiv.com/f/ce2712ec72bddcb7767fe9968a7779ad_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645145852
5,30995226,72,12,6,661080,7.0,476752,184328,Aster Zenith,https://img2.finalfantasyxiv.com/f/683dffbadf8d76c6e810753c7c3a1a1d_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644816044
6,31835277,72,12,7,632659,6.0,490208,142451,Altimira Kreux,https://img2.finalfantasyxiv.com/f/e4d8b6460efeab454d6c5f2712afbbe5_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645082315
7,17003649,72,12,8,514591,8.0,407343,107248,Lilia Whiteice,https://img2.finalfantasyxiv.com/f/00ff462dfd2eeb02148097c9d3db4870_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645090985
8,8837961,72,12,9,342996,9.0,330052,12944,Vert Vioret,https://img2.finalfantasyxiv.com/f/44bbc9fc5c41449f0ee320f4abb5a600_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645086098
9,9155211,72,12,10,337580,10.0,268053,69527,Ell Phrixus,https://img2.finalfantasyxiv.com/f/132d6cc36f8c68460d6dba28abf7b390_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645190518
10,28016908,72,12,11,329099,11.0,230827,98272,Zeth Xerval,https://img2.finalfantasyxiv.com/f/1db4b70d8b72c4b1d8dbfed380859266_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645127475
11,15308846,72,12,12,302379,13.0,179196,123183,Aqua Eleison,https://img2.finalfantasyxiv.com/f/09f8d5e0b2c8fab999bac4ae59282834_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644955624
12,6406451,72,12,13,237792,12.0,187436,50356,Aki Miya,https://img2.finalfantasyxiv.com/f/1951eb4d370a62a832036129a688304a_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645010615
13,1043535,72,12,14,173745,14.0,146463,27282,Rogue Muse,https://img2.finalfantasyxiv.com/f/628404dd19ab7f0ebc9de1d66d250b54_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645079773
14,4875029,72,12,15,136056,15.0,105304,30752,Aleph Null,https://img2.finalfantasyxiv.com/f/e696eeaa36126a4cbd7b7ed9e45427b8_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645037013
15,25356074,72,12,16,85400,18.0,75460,9940,Tanner Highwinder,https://img2.finalfantasyxiv.com/f/07a4897442a8d299c7b9b11648002483_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645004596
16,21199343,72,12,17,82533,16.0,80886,1647,Bradley Bunton,https://img2.finalfantasyxiv.com/f/1ca55000315126c5f48d0da5e33f5ff9_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645135911
17,616129,72,12,18,77479,17.0,77479,0,Cosmic Color,https://img2.finalfantasyxiv.com/f/283cbc1c06f27800e8fc5d37c1fd621a_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645180892
18,16781294,72,12,19,61716,19.0,54475,7241,Omomi Momo,https://img2.finalfantasyxiv.com/f/f4265a01394e2a83e37ec52f704cfe75_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645094600
19,6725349,72,12,20,50374,20.0,50374,0,Anubys Lucari,https://img2.finalfantasyxiv.com/f/8ab928687b40d5ada79d1ecebad04ff5_30a5f9eadea6e0cb684a5265362d0d59fc0_96x96.jpg?1645064534
20,7756205,72,12,21,47248,21.0,47248,0,Enefeaa Sophia,https://img2.finalfantasyxiv.com/f/3d41f31c1fe2ab84f0ec78fee8db6657_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645132023
21,20902299,72,12,22,32648,22.0,30312,2336,Freyzaru Lawnier,https://img2.finalfantasyxiv.com/f/c46aac69bae39432f99f16fb29bfeb87_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644960834
22,22316873,72,12,23,26894,24.0,23897,2997,Rana Jmstak,https://img2.finalfantasyxiv.com/f/a80fc77f4fb11d2b0f09e4653ca3397e_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645039370
23,29998304,72,12,24,25153,25.0,23628,1525,Kaine Nier,https://img2.finalfantasyxiv.com/f/b36f405ba3a9a2c3d65d882330d39dfa_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645190347
24,1677729,72,12,25,24514,23.0,24514,0,Medicina Aurora,https://img2.finalfantasyxiv.com/f/257e61af50f2ff14e1497985ed643331_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1645133018
