,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2399754,69,9,1,831768,1.0,726417,105351,Setsuna Hiiragi,https://img2.finalfantasyxiv.com/f/5db7333a812f11faee4efa2efcbba5ad_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644966067
1,30793062,69,9,2,668881,2.0,601365,67516,Noah Novalis,https://img2.finalfantasyxiv.com/f/dc0d2fec8e84044f6f0eb8d8b41baf4b_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644604648
2,27356488,69,9,3,600835,8.0,306997,293838,Aile Strath,https://img2.finalfantasyxiv.com/f/ef58c91308c4455e3223553f3411c595_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644618307
3,27860690,69,9,4,497808,3.0,460087,37721,Kujyo Hisui,https://img2.finalfantasyxiv.com/f/ca36a53bcd087d93c674826844708f11_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644807395
4,2439232,69,9,5,467955,4.0,439323,28632,Sink Runoa,https://img2.finalfantasyxiv.com/f/f582092f1bd66e44b6fcc55f3f40381a_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645193005
5,4619645,69,9,6,422866,7.0,340661,82205,Lughwell Roughnight,https://img2.finalfantasyxiv.com/f/01be2d2f6d81ae8975f2f7908078b216_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645152003
6,29299244,69,9,7,399917,6.0,350335,49582,Kazahana Shinonome,https://img2.finalfantasyxiv.com/f/9e065cf1dd30dd38e68f585f23ed33b8_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644898017
7,2218404,69,9,8,399330,9.0,304694,94636,Sigurd Thialfi,https://img2.finalfantasyxiv.com/f/1afd599cd666a7b9a9b71f87ff377242_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645006502
8,31560071,69,9,9,385040,10.0,279311,105729,Enid Aetherium,https://img2.finalfantasyxiv.com/f/076e40beefde7ff850a54e28605ce0e8_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645062284
9,6867166,69,9,10,380425,5.0,380425,0,Walnuts Bean,https://img2.finalfantasyxiv.com/f/d3fbbd4619f7d5d6d774774ff84f84a5_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645149745
